price,duration,wait_time
15.65,23.12,1.7
23.61,37.45,6.11
21.24,33.56,4.87
18.71,27.9,5.28
18.56,31.97,2.76
21.53,33,1.9
29.83,51.65,7.44
17.05,27.65,5.12
15.1,22.21,1.77
23.06,38.74,3.97
24.14,40.3,1.84
19.56,29.68,8.93
16.41,25.64,8.24
12.41,14.51,2.36
15.74,23.81,1.62
17.34,24.04,4.42
15.64,24.72,2.15
19.3,32.32,17.66
24.4,39.87,3.93
19.77,27.78,7.81
18.08,26.09,4.72
21.07,31.9,4.48
14.77,18.98,3.16
21.37,32.51,4.67
17,25.45,2.57
23.82,40.88,2.81
18.83,29.37,8.8
27.14,49.35,3.9
25.16,42.6,2.4
13.52,17.84,2.62
16.55,23.52,3.94
23.42,34.54,2.75
23.98,40.53,4.11
22.08,36.78,3.04
16.89,24.7,3.29
18.82,30.02,3.93
18.51,29.99,2.26
12.23,16.56,14.92
14.41,20.75,6.12
19.49,33.25,3.3
16.06,21.37,2.53
14.47,21.24,2.78
13.83,15.67,12.94
27.37,48.82,3.43
18.92,34.14,3.24
28.44,48.7,2.69
12.26,16.83,1.91
21.88,34.3,5.05
12.83,18.31,7.73
20.69,28.17,1.75
25.73,44.64,1.64
17.97,26.21,2.43
18.93,30.58,2.32
18.41,27.98,6.03
17.36,21.21,7.09
18.25,28.51,3.99
20.69,33.1,5.67
13.64,17.12,2.43
17.98,28.33,10.73
21.1,30.33,3.09
19.84,31.83,4.15
23.81,39.37,2.86
13.35,14.98,8.84
19.08,29.06,1.63
24.18,40.82,8.25
16.55,24.29,2.4
15.57,23.63,4.18
27.55,48.01,2.76
20.36,34.48,5.85
27.63,47.78,1.87
15.12,20.47,4.51
17.56,27.52,2.06
16.78,21.55,8.63
12.43,16.86,3.55
25.19,44.25,1.9
18.76,28.74,3.65
18.43,27.01,3.45
19.32,28.23,2.02
19.78,28.44,3.29
22.73,39.59,2.6
22.41,36.04,3.55
24.48,41.02,13.01
25.76,43.73,5.19
16.48,23.22,5.46
20.57,30.99,6.68
16.53,25.45,7.09
20.75,37.82,5.84
22.42,36.98,2.61
20.96,35.57,1.57
20.53,32.3,10.25
25.15,40.81,9.93
25.07,40.84,1.57
17.07,24.35,4.62
17.14,24.42,2.9
25.48,43.11,2.37
15.29,22.46,1.71
14.25,19.8,3.42
17.47,30.43,1.71
23.9,34.97,9.96
19.62,32.24,9.34
