price,duration,wait_time
17.92,26.53,6.12
21.34,29.93,4.75
11.22,12.4,1.73
10.37,16.75,5.29
13.92,20.38,3.08
20.02,30.03,3.54
20.68,31.48,2.73
26.72,48.64,3.39
14.62,19.75,2.01
14.47,19.42,8.96
21,33.7,2.36
18.2,26.7,1.72
17.2,23.07,4.07
18.95,28.71,8.94
18.6,26.22,2.97
16.66,26.86,2.68
21.98,35.08,2.09
16.17,23.24,3.84
18.04,23.51,2.61
20.78,33.37,2.86
16.27,22.26,8.66
16.97,25.86,5.84
17.18,25.63,7.89
23.53,38.65,3.04
20.14,34.14,4.44
24.17,41.3,2.27
21.27,37.42,3.62
18.73,31.14,3.96
26.09,40.15,7.39
17.3,27.37,3.9
25.53,44.49,3.75
17.25,24.9,2.65
28.74,51.43,2.77
13.8,18.88,6.99
20.27,30.49,3.3
24.27,38.06,4.52
19.99,32.49,3.56
18.21,28.63,12.08
12.41,15.49,16.2
23.22,34.93,1.99
17.33,23.29,4.69
29.44,52.09,4.88
15.31,24.17,7.6
22.75,36.48,8.33
25.17,41.12,2.19
29.14,52.2,7.52
19.2,26.33,2.19
26.48,48.92,14.73
15.66,23.31,10.45
18.18,28.23,1.95
20.16,32.35,4.3
22.77,37.56,2.26
18.8,27.59,3.31
14.28,19.46,18.43
9.35,6.71,5.05
13.21,16.17,6.01
18.27,28.68,10.29
20.7,25.36,12.55
29.61,51.7,2.46
21.41,34.68,1.96
21.95,35.33,6.77
25.3,43.34,3.12
23.51,37.08,6.14
18.13,29.57,2.4
17.43,23.47,10.33
27.81,46.86,4.94
16.44,23.62,6.34
22.44,37.97,2.01
21.19,31.64,3.41
21.1,35.46,2.83
14,16.16,6.73
17.28,24.81,2.12
18.24,27.13,3.73
22.04,34.24,3.89
22.28,33.88,2.37
19.6,28.2,1.58
17.4,24.42,5.39
21.85,33.23,13.78
12.47,10.14,2.22
19.56,32.08,3.4
22.39,34.17,4.99
19.14,27.99,3.62
19.82,32.15,1.82
12.11,14.9,14.54
17.48,22.14,2.75
24.82,42.92,2.72
19.3,28.27,6.37
16.2,23.37,3
27.18,47.16,7.33
16.59,22.29,3.85
17.4,21.7,2.77
22.53,39.23,1.64
27.27,47.9,2.47
13.61,15.26,5.25
17.51,22.66,5.85
19.37,30.34,5.23
18.94,29.23,1.56
16.07,22.15,3.3
16.46,24.66,2.9
17.42,24.63,4.95
