price,duration,wait_time
17.43,26.9,8.76
16.52,22.55,2.02
15.9,25,1.58
17.38,22.29,2.51
19.49,31.62,7.23
23.17,39.35,7.3
11.1,13.64,4.25
17.79,24.26,1.57
19.79,28.7,5.46
24.13,37.07,6.08
20.6,33.51,3.83
25.74,45.35,1.54
22.29,33.24,3.8
19.76,27.61,2.04
25.31,43.13,6.67
22.15,34.24,3.05
13.59,14.38,5.02
14.71,15.94,8.42
18.05,26.49,1.83
21.39,35.69,2.17
14.68,20.3,4.97
19.93,30.54,4.5
25.41,43.56,6.43
24.95,43.41,2.53
13.22,14.93,4.09
21.52,38.55,5.07
22.06,34.54,1.98
17.42,23.22,1.71
20.61,35.41,17.59
8.22,6.17,3.67
13.11,14.73,2.67
19.37,32.28,2.32
27.66,47.75,3.2
19.76,28.19,6.42
23.24,36.05,2.64
25.81,44.18,3.24
20.38,31.01,1.83
15.42,21.78,15.96
20.81,32.96,3.43
14.69,18.32,1.95
27.7,48.64,2.52
13.14,12.85,1.68
18.81,27.15,3.98
18.32,30.59,8.65
18.01,28.34,2.88
25.36,44.26,4.3
20.45,31.52,1.63
12.32,14.32,6
15.23,22.34,2.25
17.11,23.81,6.62
13.67,19.79,1.5
18.22,28.33,2.85
18.22,29.16,3.04
16.37,22.95,3.29
20.48,33.04,3.32
26.36,45.86,7.83
28.18,48.81,12.48
18.5,30.01,4.66
24.58,38.32,2.96
23.07,37.08,6.45
16.7,24.77,5.58
12.6,12.74,1.67
16.4,26.18,4.68
15.3,18.74,6.23
12.58,16.03,6.99
18.65,29.61,3.25
16.54,25.89,4.46
23.02,35.75,5.68
13.42,17.29,5.76
17.34,21.21,1.84
16.59,24.84,2.91
23.43,38.36,8.15
17.78,23.8,1.78
28.73,50.88,3.57
21.95,33.52,3.3
15.12,21.67,8.95
24.39,41.06,1.74
26.7,47.14,6.78
13.18,15.87,5.12
16.65,22,5.21
11.49,12.35,4.46
18.41,29.41,2.73
17.55,25.14,2.18
21.53,31.26,1.63
15.92,28.29,5.49
27.82,47.92,3.62
21.66,35.7,10.38
21.5,34.62,3.51
19.62,29.05,3
17.88,26.41,8.35
25.66,44.7,6.58
33.22,60.72,2.68
22.63,35.65,11.39
18.45,31.89,1.52
16.84,26.03,4.06
23.23,35.86,6.86
11.11,13.65,7.67
13.6,21.59,2.18
23.09,34.95,2.38
19.77,27.25,2.58
