price,duration,wait_time
17.11,21.53,3.23
20.08,30.97,2.65
20.3,30.47,3.06
19.24,24.82,2.36
16.43,20.16,1.66
23.79,39.83,1.82
21.01,33.8,1.64
21.33,34.23,5.45
24.46,44.55,6.87
24.29,38.49,5.53
15.9,22.15,2.93
20.87,29.01,12.8
16.83,23.46,2.41
25.51,45.07,3.36
22.17,34.41,5.29
19.45,31.55,1.9
25.24,38.88,1.72
20.14,36.62,2.79
19.43,30.86,1.58
15.38,19.31,1.8
17.08,26.65,2.57
11.79,12.6,2.08
23.84,40.16,8.67
15.87,16.63,5.85
14.98,20.18,6.21
19.42,28.53,2.8
24.57,43.83,2.66
15.28,21.78,9.81
16.88,22.58,1.92
12.94,14.19,2.3
19.1,30.77,2.12
17.49,28.64,2.34
25.13,38.27,2.79
20.63,34.08,3.1
12.16,12.45,2.31
20.52,27.97,1.62
19.34,30.57,3.27
12.28,17.23,6.05
15.47,21.08,2.89
19.41,28.86,7.06
21.73,33.19,2.26
19.16,31.69,6.42
25.23,41.95,2.05
14.47,19.42,8.96
25.1,47.79,2.03
14.77,19.98,1.63
18.72,26.83,1.98
18.33,25.86,1.74
14.86,20.86,5.86
21.23,28.34,4.34
24.78,41.05,2.09
10.03,10.55,14.53
19.3,30.06,3.1
18.37,27.65,4.7
21.53,31.98,3.27
21.95,39.68,2.86
27.99,50.29,1.79
24.12,40.62,1.83
17.79,28.34,4.99
20.95,38.49,8.58
14.11,17.56,7.82
27.84,48.37,11.7
16.18,20.74,4.05
14.96,19.59,11.47
18.36,30.63,4.04
27.82,51.35,2.72
17.8,24.72,2.92
8.87,5.55,3.19
20.45,33.77,4.28
13.58,18.92,7.94
15.14,23.46,3.08
20.59,31.27,4.76
19.59,32.09,2.32
22.96,33.71,1.53
18.71,30.35,5.39
12.97,12.67,2.31
30.34,54.04,7.29
10.16,9.44,3.27
17.28,28.36,4.75
25.71,43.03,2.08
10.04,14.41,9.01
25.52,40.91,2.51
21.29,32.57,6.87
18.97,28.78,10.35
28.62,49.51,3.05
20.69,35.54,6.52
22.98,36.62,6.69
17.16,28.2,2.45
25.63,42.68,3.11
25.62,43.27,3.25
20.25,33.62,7.75
21.1,33.23,3.23
19.76,33.74,4.92
15.85,21.71,10.94
18.86,29.14,5.58
22.46,33.3,7.61
24.57,39.79,7.59
22.06,33.51,3.01
26.31,44.72,4.21
18.12,26.92,1.59
