price,duration,wait_time
18.99,25.99,2.74
22.19,38.06,1.78
17.5,28.32,4.16
13.83,20.18,1.89
18.87,31.81,2.57
20.16,29.61,1.6
20.53,34.88,1.98
21.9,31.76,7.44
10.45,5.31,5.33
26.2,44.28,8.75
17.36,29.11,3.8
18.86,28.54,8.15
8.9,8.51,2.23
24.24,41.81,13.3
29.56,53.04,4.72
23.13,40.8,5.21
20.62,29.41,7.85
16.73,26.02,4.41
15.04,17.93,3.95
15.67,22.25,2.46
27.07,47.5,5.39
18.74,28.32,9.27
14.62,20.08,2.72
25.07,40.81,3.19
26.18,48.82,9.86
20.36,29.61,6.64
21.13,35.31,2.49
8.81,8.57,8.41
21.23,33.05,3.64
26.36,44.25,6.84
20.42,31.01,1.94
16.58,26.01,1.85
16.8,21.6,1.72
24.22,44.16,3.38
25.12,42.24,1.61
19.89,33.94,1.66
20.44,32.73,5.76
10.5,13.19,7.44
21.43,30.99,2.1
19.01,30.76,3.57
18.45,25,1.56
19.46,28.62,3.31
20.14,29.98,7.57
22.93,38.31,1.76
21.85,37.84,3.35
12.83,14.21,7.96
17.79,27.65,1.96
16.53,27.21,2.93
20.44,33.25,2.86
17.84,27.33,1.61
24.95,40.43,3.07
22.58,36.41,6.18
15.84,26.82,3.4
15.74,19.45,4.55
22.34,36.9,3.85
21.53,33.02,4.05
20.73,34.18,3.09
24.48,41.65,5.32
14.35,18.83,1.59
18.19,24.06,3.9
14.46,20.15,1.56
20.35,32.58,2.09
17.42,26.79,4.5
18.43,28.2,1.5
18.97,28.89,3.33
18.93,31.31,11.1
15.31,22.76,1.76
18.32,30.59,8.65
13.8,15.75,3.55
26.55,42.41,2.18
14.74,19.13,4.11
30.32,53.34,4.62
22.17,39.64,4.35
21.48,35.72,5.08
19.14,28.74,7.42
16.23,25.74,7.21
23.76,43.27,6.1
15.19,21.43,3.9
12.86,17.05,6.06
17.43,24.8,2.3
11.65,17.06,1.53
24.58,41.48,2.09
21.1,33.59,9.08
24,41.93,1.89
22.82,38.93,4.45
16,22.91,1.72
28.58,50.22,3.35
16.16,19.05,4.04
21.88,37.42,3.83
14.41,19.59,3.31
19.63,31.03,1.65
17.28,23.75,4.61
22.87,37.38,7.03
19.24,28.52,5.7
11.26,9.72,12.4
16.06,22.26,7.9
27.26,46.29,8.53
25.88,43.11,2.87
14.27,20.21,4.2
27.19,43.98,3.95
