price,duration,wait_time
20.53,32.41,1.8
14.44,19.89,10.43
9.03,6.77,4.93
12.64,20.38,3.05
13.17,19.99,2.44
29.64,51.48,1.57
21.16,35.7,6.15
20.67,35.54,7.38
24.33,40.35,3.04
18.23,28.35,5.59
17.51,27.48,16.78
18.29,28.84,1.95
12.99,17.51,4.07
13.7,22.4,1.51
22.18,34.7,4.18
9.81,10.11,2.12
18.09,30.16,1.91
17.6,26.26,6.08
9.84,9.21,5.23
14.11,15.33,6.88
20.63,32.11,1.61
16.14,23.36,4.49
20.17,32.23,3.88
24.36,38.4,2.13
20.21,32.2,3.4
18.7,21.78,1.98
15.98,21.26,7.88
26.77,50.93,3.52
12.98,16.48,1.91
21.11,34.15,2.64
21.18,34.12,1.61
15.83,23.43,1.87
21.62,35.07,2.41
20.56,34.2,3.56
20.59,34,3.96
19.6,31.96,3.66
14.05,19.78,1.5
17.61,25.31,3.08
13.17,13.94,2.84
30.66,51.4,1.72
23.71,36.05,6.23
18.51,29.09,3.52
17.6,25.93,3.27
31.38,52.45,3.85
22.79,38.43,5.47
13.12,14.82,3.3
18.62,28.09,4.97
19.55,29.87,1.96
22.02,32.09,13.46
20.49,33.2,5.58
15.11,20.52,4.98
17.77,27.43,5.45
19.02,32.27,5.23
15.32,20.82,7.14
15.54,24.85,7.01
25.69,41.53,10.02
16.09,22.76,5.69
15.73,21.99,1.69
16.37,22.95,3.29
24.82,43.14,6.97
13.41,20.6,3.49
16.04,22.21,2.49
19.55,32.89,4.37
14.37,20.83,2.37
14.6,18.68,6.84
15.35,20.12,10.13
22.83,34.12,1.91
12.11,14.9,14.54
14.67,19.58,1.64
18.59,27.29,2.28
18.38,31.65,2.63
20.46,33.45,14.75
25.41,39.11,2.28
15.96,20.63,1.91
14.3,13.92,6.23
24.18,43.51,9.89
24.32,41.1,5.56
12.72,15.86,1.62
14.23,22.1,12.34
25.3,40.32,1.54
16.39,23.43,3.13
15.4,17.76,2.93
16.42,25.11,5.24
13.98,16.51,1.95
20.64,28.43,4.65
18.9,26.21,5.06
20.96,31.35,12.04
17.35,29.32,2.34
18.89,28.36,4.17
16.01,20.56,1.67
20.28,29.04,2.6
24.15,42.71,4.7
12.88,12.76,8.26
13.16,18.79,6.83
15.81,22.26,3.29
26.18,45.2,6.09
23.04,38.13,5.39
20.5,31.47,6.11
20.57,32.81,4.49
25.43,43.57,2.41
