price,duration,wait_time
18.17,25.36,9.24
20.36,38.73,2.59
16.58,25.87,2.59
20.02,33.55,4.54
15.15,22.87,7.87
23.98,38.62,3.07
12.05,14.73,7.56
15.07,20.63,2.68
17.79,23.99,1.9
24.25,40.34,2.4
16.2,21.53,3.76
20.56,33.63,2.3
16.2,20.87,2.88
15.37,20.5,2.57
15.1,22.3,3.22
14.2,17.77,4.22
20.97,34.07,4.55
27.47,48.95,2.5
23.05,36.89,4.24
24.15,39.24,2.76
20.07,34.09,9.73
17.94,23.24,3.99
24.86,37.38,1.81
23.57,36.83,9.77
14.42,20.32,6.78
15.23,21.2,5.52
14.59,22.66,1.74
22.32,36.77,3.8
20.08,34.97,3.39
14.05,22.22,2.64
22.74,36.02,2.12
17.8,25.38,4.81
14.83,18.59,4.44
10.05,9.63,3.6
15.74,22.01,5.67
13.11,18.47,1.86
21.81,32.81,1.71
15.94,20,2.47
18.99,25.92,3.24
16.77,22.04,12.23
23.69,36.53,3.37
19.12,28.39,1.82
15.62,22.98,3.79
16.68,25.14,2.78
20.39,36.03,9.35
23.41,38.87,2.46
24.6,38.72,2.19
19.86,29.39,11.36
17.07,24.1,2.38
25.78,44.46,3.91
12.71,13.71,5.38
16.95,22.92,1.82
24.62,41.28,2.11
18.11,25.11,4.74
17.98,23.19,2.99
18.88,27.5,5.73
16.01,26.65,1.85
14.6,19.44,3.04
13.7,22.4,1.51
22.08,33.24,2.93
18.68,31.54,4.85
17.92,26.31,4.58
24.43,39.75,1.93
28.23,44.95,5.6
24.07,39.69,4.25
18.56,28.64,3.24
22.15,36.81,10.04
24.78,41.22,2.14
20.2,28.28,7.16
13.68,19.88,3.79
19.32,30.13,9.66
28.97,47.35,2.66
20.78,33.62,1.77
15.67,20.68,2.22
23.32,37.98,2.62
26.03,46.96,13.47
23.41,40.58,4.73
24.17,38.56,4.4
15.06,24.34,1.69
16.35,21.4,5.92
20.31,32.78,1.54
19.91,32.41,5.31
19.83,33.44,6.76
15.23,24.98,3.11
17.36,30.32,10.6
16.11,22.94,7.58
24.23,40.21,1.62
22.08,31.87,2.14
18.72,27.2,1.9
16.99,22.33,1.75
13,14.61,6.11
20.28,35.25,8.4
21.43,34.51,5.22
22.46,37.26,12.47
18.5,23.02,9.08
19.59,31.27,9.7
17.7,26.5,1.69
21.46,34.36,2.72
29.14,48.12,2.18
22.36,37.54,10.56
