price,duration,wait_time
21.17,31.79,1.58
19.89,29.99,13.99
12,14.85,5.96
21.15,36.61,4.71
16.49,25.69,8.66
20.98,32.14,2.89
14.07,15.61,5.55
18.32,28,3.33
18.88,28.57,3.64
21.38,29.74,2.38
24.79,40.6,1.79
19.89,33.94,1.66
23.12,42.66,2.3
22.92,37.48,3.72
19.4,27.55,7.22
20.8,29.54,2.23
23.86,36.3,3.47
25.11,40.95,3.5
17.15,21.65,3.39
21.68,34.3,3.24
19.39,30.45,2.24
25.36,43.81,1.69
16.48,27.1,9.99
17.69,27.23,2.99
18.78,28.13,4.16
14.8,21.19,1.51
18.48,28.38,3.86
11.39,9.44,1.99
25.22,39.15,5.82
27.48,47.88,3.6
15.37,22.27,3.16
16.2,21.77,6.29
31.09,55.91,7.18
24.02,41.31,1.59
21.75,34.38,5.52
17.18,26.34,2.53
21.76,34.97,7.15
17.56,27.68,2.68
22.29,37.51,11.03
18.88,27.23,7.77
26.98,50.7,2.13
11.7,17.68,5.87
15.61,20.02,5.58
23.53,39.04,2.63
14.89,21.38,3.31
13.7,17.46,5.29
15.36,19.04,2.72
26.12,44.71,2.67
16.29,24.09,1.5
19.18,31.87,5.17
20.72,34.34,3.87
17.11,26.77,4.62
19.65,29.52,10.4
17.58,23.07,1.81
21.28,34.37,2.46
21.98,36.29,2.84
15.22,19.39,3.47
23.95,39.99,5.65
22.46,30.87,5.1
23.87,39.36,2.34
21.16,32.73,1.71
15.49,22.24,2.93
18.96,28.41,1.54
25.7,45.74,3.56
16.08,22.51,1.84
20.52,33.64,2.69
18.38,25.61,13.23
24.4,43.1,15.13
16.97,26.45,7.09
20.99,32.85,3.43
24.39,40.82,2.96
21.77,36.34,2.21
17.24,26.93,3.33
20.2,33.09,4.47
16.3,22.51,2.59
25.7,42.56,1.9
18.32,31.28,3.05
25.97,40.55,3.33
22.77,36.57,9.74
27.58,48.78,3.3
17.75,22.71,4.09
22.57,39.98,2.98
19.82,29.71,5.87
14.52,22.64,4.18
15.51,25.22,3.23
17.55,26.34,3.76
27.04,44.61,1.88
19.01,31.26,2.95
16.52,23.93,4.86
24.28,37.51,1.73
18.98,29.2,5.52
21.09,31.79,5.4
15,18.98,3.2
19.14,30.56,2.79
13.64,16.64,1.97
32.52,55.05,2.72
13.47,18.19,6.98
22.06,34.19,6.21
24.29,43.11,5.6
17.44,28.46,3.87
