price,duration,wait_time
21.64,36.68,1.96
12.6,16.45,11.59
21.33,38.64,10.84
15.92,22.81,4.68
16.71,23.02,3.2
15.73,21.27,2.91
16.87,22.79,10.44
19.2,30.11,1.69
29.04,48.29,8.64
21.05,30.52,3.71
17.41,27.7,6.87
23.75,39.04,3.74
19.78,29.6,4.07
13.23,17.44,2.12
22.41,35.17,8.67
13.43,14.09,1.53
17.29,27.41,1.53
16.92,22.62,2.51
20.72,30.89,6.14
23.88,36.01,3.41
22.97,35.68,6.17
18.96,33.65,6.35
18.31,26.79,2.6
20.75,35.29,7.89
15.66,21.69,2.58
28.11,49.94,2.61
20.18,29.63,6.4
23.12,40.13,7.92
19.3,29.8,2.38
17.7,26.02,1.71
14.9,20.84,1.95
23.25,37.36,9.44
11.97,14.01,3.8
17.49,26.31,5.9
18.59,31.48,4.28
17.29,24.01,3.62
20.78,30.56,7.9
29.77,52.4,1.76
16.99,25.5,4.59
17.12,23.81,7.84
11.3,11.78,4.19
13.84,17.64,2.84
17.48,25.51,2.39
18.97,25.86,3.75
18.68,31.54,4.85
10.35,11.45,5.01
20.29,31.19,1.54
17.95,29.57,3.98
16.18,25.57,7.83
14.22,16.6,2
18.81,31.98,1.97
19.46,31.14,2.26
10.76,8.65,3.13
16.57,20.25,6.91
19.5,29.73,5.52
13.89,17.68,4.37
19.66,27.89,3.37
18.55,30.68,4.11
17.92,25.67,1.97
33.24,56.43,14.01
19.78,29.69,2.21
15.41,22.42,5.18
20.77,35.7,2.63
18.13,28.11,2.53
23.47,41.32,2.81
18.01,28.68,6.35
20.81,32.4,1.75
15.86,21.26,2.46
24.46,42.92,5.32
14.66,20.56,7.67
21.47,32.76,1.53
19.05,28.32,2.25
19,28.19,4.91
16.6,24.45,13.48
21.76,34.53,1.97
20.55,34.42,2.38
19.58,28.73,3
21.49,35.42,3.11
27.36,48.89,2.58
17.63,27.03,6.41
22.5,37.85,2.98
16.29,24.81,5.7
20.54,32,4.27
16.03,21.72,3.43
23.12,40.35,4.6
25.98,44.2,4.07
12.3,13.41,4.3
22.6,35.58,2.89
21.65,30.2,2.64
15.88,21.43,3.96
11.6,15.07,2.07
23.07,34.51,6.11
14.11,23.8,3.73
13.14,19.45,4.28
17.44,22.89,1.92
18.44,27.03,6.6
21.2,30.73,3.17
19.81,30.65,5.51
18.41,27.99,3.97
20.95,34.82,2.41
