price,duration,wait_time
22.47,34.34,2.71
18.48,24.33,8.26
18.61,31.71,2.54
20.04,30.8,2.43
25.51,44.69,6.55
23.97,38.86,2.54
16.65,21.89,3.51
17.32,20.64,2.17
21.82,31.43,10.76
21.33,35.79,4.84
18.41,29.05,2.51
20.96,32.31,4.33
13.86,19.59,3.93
15.37,22.95,3.95
10.34,5.42,5.28
18.49,22.69,11.76
19.94,31.24,5.2
17.51,26.71,2.15
11.65,11.52,4.11
13.27,18.93,5.87
18.99,32.09,3.89
17.13,24.61,14.17
21.54,30.47,1.76
13.46,19.2,4.18
24.37,38.32,11.39
11.94,11.47,2.93
13.32,18.16,1.83
19.23,31.89,14.28
18.36,23.64,2.82
11.5,14.06,1.6
15.61,19.67,4.59
19.19,25.99,9.93
13.46,16.93,7.31
18.33,28.83,2.8
20.38,30.11,2.02
20.47,31.46,2.18
21.57,35.47,4.1
13.29,17.14,5.66
23.39,37.89,1.98
11.15,11.23,2.26
16.25,24.35,2.75
10.78,13.37,3.48
13.56,16.63,1.63
20.54,32.15,4.32
16.93,22.74,2.79
16.62,24.59,6.16
24.95,40.84,5
24.56,40.13,3.18
18.7,29.82,12.37
17.38,27.69,4.58
24.49,43.23,7.12
16.79,23.91,2
19.05,29.42,3.22
24.1,38.29,1.79
27.14,50,1.82
21.64,32.82,2.06
28.51,50.92,7.26
21.22,35.1,1.59
24.19,41.3,2.55
22.66,37.78,4.12
20.16,32.7,4.51
15.19,22.36,2.24
17.13,26.57,2.26
15.07,20.93,6.16
22.42,32.5,7.45
18.17,33.74,4.36
23.44,36.32,3.85
18.78,27.96,4.52
21.21,34.76,7.55
21.65,35.29,6.8
24.18,41.3,1.88
20.42,33.97,7.75
20.54,27.87,8.82
14.9,17.89,2.99
22.1,38.64,3.71
25.33,40.48,1.86
20,30.95,3.03
17.34,28.17,10.02
20.63,35.32,3
14.54,12.58,1.62
19.97,36.96,1.51
24.83,42.57,8.71
21.53,32.07,2.5
22.34,34.54,1.76
16.08,23.07,1.78
31.32,55.58,2.65
28.98,52.18,3.27
17.4,25.3,7.44
28.75,50.83,17.84
13.01,16.05,2.68
25.34,43.76,6.45
19.61,28.23,1.6
24.02,38.17,11.68
14.04,19.79,4.18
19.31,29.77,6.46
17.47,30.45,2
29.37,53.57,4.52
15.78,22.74,5.24
16.6,25.46,1.9
19.38,31.9,2.2
