price,duration,wait_time
20.81,35.57,10.28
17.02,25.88,6.43
19.7,25.54,3.89
20.74,30.86,5.82
17.56,21.14,6.74
14.79,24.17,2.09
24.1,39.54,1.85
15.22,18.34,6.05
8.44,6.67,3.11
25.44,43.04,1.71
17.61,26.86,1.67
22.37,36.93,8.64
15.6,23.04,1.64
10.65,12.29,3.6
19.97,29.04,1.85
17.5,24.04,4.27
16.96,20.93,7.6
17.53,29.53,2.93
19.22,30.22,1.65
20.55,32.85,2.64
24.21,37.93,9.02
16.63,25.65,9.59
21.34,29.93,4.75
11.93,12.71,2.08
25.46,43.04,4.36
15.75,24.41,2.06
19.26,28.84,2.83
12.3,15.16,11.39
25.93,45.53,4.5
20.33,33.18,6.67
24.53,40.95,1.66
20.56,35.2,3.31
21.48,37.38,2.09
18.93,27.14,2.13
26.93,45.56,9.2
18.83,26.91,1.93
21.88,35.51,3.95
18.28,27.67,5.08
24.11,41.22,5.82
21.93,35.8,7.94
16.33,23.41,13.28
15.95,20.39,9.32
17,25.83,7.18
28.64,49.79,2.2
16.15,23.3,2.76
17.72,26.44,2.39
17.47,20.68,4.21
11.96,16.31,2.7
29.07,49.62,3.46
23.71,39.96,2.21
11.74,9.6,1.7
23.42,34.54,2.75
13.5,18.12,1.87
21.71,34.76,3.87
20.26,32,7.71
21.63,33.73,4.66
21.21,35.67,2.83
19.96,32.79,4.68
22.44,37.87,4.07
23.63,37.75,4.59
20.5,34.32,7.72
19.64,30.9,2.23
19.43,30.26,12.41
28.48,51.04,2.22
20.96,32.11,4.6
19.48,29.71,5.66
18.43,30.01,2.14
17.39,23.03,6.32
22.71,37.29,15.96
21.08,33.18,3.08
24.91,41.25,3.23
9.39,8.55,14.44
24.87,39.5,10.68
22,34.76,2.79
17.83,29.35,1.63
19.7,31.93,1.74
18.97,33.45,6.7
21.16,33.87,2.12
22.6,35.55,10.94
22.58,33.88,9.97
16.77,22.84,3.41
16.86,25.92,4.93
16.51,19.93,2.67
20.51,33.1,1.82
16.62,25.85,8
19.3,28.24,1.63
16.6,25.27,1.78
16.12,23.66,11.65
19.18,28.85,2.34
21.4,34.48,4.04
15.97,23.78,3.91
21.47,36.46,3.2
17.2,25.45,2.3
6.11,4.95,3.3
22.65,36.52,6.54
14.46,16.23,4.79
23.54,37,2.73
26.58,43.01,4.9
15.1,25.46,4.36
9.65,8.09,3.79
