price,duration,wait_time
18.44,26.93,2.62
25.41,43.52,4.34
22.19,33.79,3.06
26.59,45.84,2.01
24.64,41.14,3.95
20.02,30.14,2.15
27.03,47.29,2.92
12.3,17.44,8.29
23.05,36.45,6.43
26.71,45.74,1.62
18.04,26.29,1.85
25.23,44.39,4.5
25.32,44.77,1.71
17.77,29.15,2.5
20.42,34.03,1.54
13.49,22.5,5.11
26.53,43.67,1.74
17.74,27.11,2.9
19.24,30.14,3.14
7.43,4.13,5.81
18.46,27.17,3.23
18.31,29.64,9.01
20.58,35.09,3.23
19.93,31.92,6.16
18.27,26.97,2.24
17.81,23.07,4.48
18.53,29.95,2.75
19.98,31.63,2.01
23.1,36.93,4.21
26.83,46.99,6.76
13.77,15.68,6.15
16.87,23.43,1.58
11.23,10.42,3.81
17.22,24.58,2.45
20.83,37.99,9.1
21.43,33.72,5.82
28.64,50.58,2.11
15.02,22.1,3.04
22.58,39.25,5.12
22.93,38.97,3.66
22.42,39.73,3.71
17.9,30.93,6.9
23.43,37.67,3.18
16.35,23.55,7.06
21.03,32.5,8.03
19.58,26.58,6.61
19.8,29.77,2.14
21.07,33.15,10.43
19.61,29.66,7.36
23.4,36.73,11.67
19.54,31.26,2.91
22.28,34.47,9.94
21.66,30.47,4.7
22.9,39.85,2.07
13.84,16.71,3.3
15.61,19.23,1.65
20.87,31.82,3.02
17.25,26.7,1.77
13.62,18.75,3.88
24.4,42.9,1.76
19.89,31.98,6.3
21.69,32.92,1.81
16.35,21.29,1.87
17.86,27.58,11.06
18.8,25.85,15.14
26.91,46.44,3.08
19.29,28.2,2.9
14.15,17.5,7.95
24.68,42.49,6.94
21.05,36.7,6.09
18.51,29.27,6.16
15.4,24.41,8.27
25.78,44.35,4.33
16.9,21.15,3.04
16.67,27.29,1.9
19.23,30.19,5.7
26.31,44.76,3.4
17.88,30.56,2.54
17.38,27.58,3.45
19.56,30.47,1.6
11.04,11.86,2.26
23.95,40.3,4.99
16.33,24.84,5.16
21.74,39.61,5.9
18.05,25.69,2.7
24.88,40.61,3.5
8.4,4.9,1.82
25.45,46.83,3.64
14.92,19.25,2.71
17.26,24.21,1.6
25.59,44.73,2.62
21.15,34.81,6.54
21.84,35.88,2.5
20.51,34.13,6.1
23.6,40.94,2.06
23.96,41.05,2.23
24.72,41.02,2.87
13.3,12.36,4.7
10.81,8.32,2
24.04,42.62,1.52
