price,duration,wait_time
16.67,26.24,1.58
22.19,37.67,7.21
15.7,20.9,9.31
22.49,34.79,6.28
17.35,25.28,3.66
14.8,18.82,2.31
27.45,42.9,2.18
19.87,28.96,4.53
20.7,35.35,3.34
24.62,38.35,5.45
13.23,15.73,2.39
18.53,27.81,3.15
19.06,29.98,2.45
16.33,23.35,2.12
9.58,13.3,8.34
17.47,21.41,4.89
19.67,28.38,2.65
24.51,38.08,2.03
22.12,36.34,2.88
18.31,26.62,4.21
11.04,13.52,3.01
27.76,49.78,2.24
21.08,31.83,1.69
20.09,29.54,3.93
20.07,35.93,5.25
21.48,35.17,7.8
13.31,12.77,7.78
21.83,38.7,3.51
19.9,32.45,2.38
25,41.63,2.85
28.79,50.77,2.5
21.79,36.32,2.93
11.86,17.1,1.55
22.47,37.37,3.6
14.89,21.38,3.31
12.39,16.11,2.83
7.63,3.84,5.12
28.13,48.73,6.9
14.82,17.02,3.3
20.28,35.34,2.55
23.89,39.32,6.74
12.34,11.82,6.31
20.86,30.43,1.99
19.06,30.91,1.82
25.23,42.33,4.93
24.55,40.56,8.84
15.98,24.61,15.69
17.34,23.94,2.55
18.94,31.52,2.09
22.58,35.56,5.86
18.73,31.14,3.96
19.22,30.19,10.54
19.04,28.13,4.84
18.1,26.24,2.86
18.41,28.62,7.89
20.47,32.38,12.05
24.89,41.52,4.01
27.03,46.15,4.09
23.27,38.83,2.52
26.89,46.03,6.15
17.23,28.4,2.12
24.05,39.63,5.01
23.34,37.27,5.41
23.84,35.24,2.07
23.11,35.21,7.62
17.41,25.36,6.22
20.72,31.73,2.34
17.4,25.88,5.27
16.89,22.5,7.96
22.58,36.18,4.16
15.89,20.94,2.41
11.99,12.89,1.54
23.5,38.52,8.48
22.76,38.18,3.55
16.18,23.66,4.63
17.77,22.11,3.36
18.52,34.18,2.33
28.3,48.64,3.89
26.61,45.75,4.05
22.4,38.61,1.51
12.54,12.48,1.87
26.86,49.06,4.94
17.46,29.18,2.76
10.01,5.93,3.34
20.77,36.57,2.15
14.95,22.48,11.31
13.93,17.17,5.3
16.75,29.13,2.53
21.78,33.18,7.03
24.4,36.63,1.59
18.11,25.94,4.45
14.27,17.95,5.07
15.19,22.36,2.24
16.81,27.64,3.72
16.25,23.21,4.1
15.91,18.49,5.13
20.84,32.27,3.14
31.39,54.04,11.03
27.11,43.3,2.43
21.06,35.2,1.79
