price,duration,wait_time
19.54,27.46,2.7
13.48,18.85,3.26
18.59,25.79,2.14
9.06,7.25,3.94
19.01,29.4,3.61
14.38,22.52,3.48
20.56,34.94,1.77
23.07,33.51,2.44
19.96,31.43,2.79
20.38,34.22,3.47
17.95,28.02,4.3
9.45,8.96,7.56
15.01,20.39,3.27
20.94,31.2,7.7
16.79,28.18,3.4
17.11,28.11,3.27
23.08,39.92,2.76
17.71,26.95,12.16
11.96,17.59,4.15
29.25,51.14,5.94
15.49,17.94,4.44
21.83,34.4,3.3
12.19,15.68,18.71
23.63,37.75,4.59
27.29,44.74,4.35
18.7,28.08,3.3
25.61,44.75,3.58
21.16,34.55,8.36
21.19,31.05,3.38
21.68,36.31,3.22
29.59,46.21,3.04
16.58,19.55,1.86
15.73,18.04,8.76
26.32,44.02,3.32
23.68,41.74,13.78
16.9,24.92,3.95
15.46,20.55,11.02
19.45,26.69,3.45
24,39.72,5.17
33.42,59.31,3.18
19.17,33.62,6.03
25.68,42.19,10.63
24.09,41.05,5.16
21.95,35.85,5.05
16.08,25.02,7.03
7.15,5.23,10.04
18.91,29.77,2.21
18.95,29.12,2.79
13.58,18.62,3.11
17.22,26.57,1.53
19.33,28.76,6.37
17.11,24.54,18.29
10.77,10.44,7.02
18.28,27.54,1.76
18.58,28.4,7.36
17.72,27.42,3.22
20.26,34.79,4.33
17.97,30.16,2.71
24.6,41.47,4.5
24.1,38.09,8.21
27.62,47.51,8.6
10.76,11.37,2.2
16.44,21.45,2.23
22.61,37.49,4.66
16.41,23.2,6.57
26.72,47.04,3.85
23.37,39.73,2.78
21.58,35.29,3.99
19.13,28.56,3.36
22,33.64,1.62
10.71,10.23,2.13
18.46,27.28,11.02
19.69,27.13,1.84
14.45,19.4,4.03
27.25,45.08,2.29
22.31,35.05,4.7
18.79,28.2,2.33
20.97,36.05,3.83
12.72,12.24,2.37
18.56,27.23,16.51
19.74,30.72,1.78
16.39,27.39,6.88
21.26,33.77,2.67
24.06,42.32,5.09
24.71,41.93,6.59
23.35,34.63,2.57
12.82,16.48,13.29
14.22,16.6,2
21.54,33.44,2.14
15.24,20.5,3.93
24.88,42.23,15.49
18.76,28.28,9.22
22.98,36.78,1.62
22.57,32.59,1.86
16.41,23.09,10.27
19.52,32.61,1.73
18.61,28.54,3.34
20.98,33.04,3.89
9.49,11.19,2.17
16.27,21.82,2.28
