price,duration,wait_time
13.74,20.29,6.3
26.77,47.24,3.95
13.57,21.6,11.51
26.34,43.54,6.83
24.06,38.34,2.58
25.56,45.61,2.81
16.82,25.45,3.41
23.1,42.23,3.47
24.41,38.41,5.73
15.55,20.23,2.97
19.01,29.01,2.82
19.68,31.44,4.2
13.05,16.14,1.7
25.6,42.46,1.96
22.94,38.05,4.27
23.33,38.72,1.72
25.35,38.78,4.1
22.39,38.48,2.99
25.63,41.17,1.92
15.02,24.06,2.03
16.98,25.31,2.19
28.4,45.64,4.65
21.16,34.3,5.6
24.36,41.53,2.79
23,35.34,5.94
18.27,28.67,1.71
18.19,28.05,5.44
18.95,30.04,3.93
19.25,30.07,1.9
20.15,30.5,3.7
23.02,34.93,2.55
15.37,25.72,2.4
10.71,9.9,2.43
18.1,24.34,6.09
24.42,42.22,5.81
21.56,38.52,2.3
16.32,22.15,4.83
23.69,40.64,10.84
20.8,34.29,4.13
15.9,20.15,9.44
22.23,34.4,1.97
15.98,22.04,1.93
22.75,35.72,3.33
20.24,31.46,2.54
22.23,36.58,10.63
13.53,16.2,1.71
20.72,31.59,7.92
21.31,30.79,5.14
26.89,44.35,2.56
17.46,23.51,4.99
23.72,37.26,2.66
9.9,10.09,8.83
14.68,18.42,3.28
20.18,29.93,5.64
20.22,32.02,4.23
19.2,30.65,4.62
24.02,37.17,11.81
13.32,13.6,2.36
15.68,21.93,5.72
17.16,22.38,2.58
19.07,28.93,1.6
21.19,36.92,2.2
12.42,13.42,3.22
12.6,18.81,10.91
20.64,31.53,3.01
22.71,36.68,2.08
12.19,12.22,3.96
24.01,43.09,7.01
18.3,26.88,4.28
19.93,32.13,6.57
25.44,42.11,1.52
23.47,33.32,3.4
16.35,23.94,3.63
25.11,39.68,4.03
19.72,29.16,4.41
19.6,30.27,5.01
15.88,16.89,2.38
17.21,25.04,7.49
26.99,45.25,1.93
23.01,38,4.69
18.96,30.05,1.73
21.69,32.92,1.81
16.17,22.94,2.91
14.39,20.11,8.48
16.13,24.43,3.2
24.85,37.64,10.11
15.66,26.34,2.4
15.29,20.28,4.39
15,23.41,4.17
23.27,39.02,1.52
10.06,7.94,2.26
20.15,29.27,2.87
22.75,34.08,13.42
16.16,22.96,4.84
28.69,48.77,3.12
16.74,22.96,1.58
21.38,32.28,8.99
18.76,29.98,4.17
20.64,29.29,2.06
19.82,32.15,1.82
