price,duration,wait_time
21.51,35.7,2.88
17.15,24.74,6.98
15.86,25.24,1.7
12.74,19.36,6.49
15.89,21.08,7.59
24,41.15,5.53
22.52,37.27,2.18
18.29,27.64,3.46
12.56,14.38,3.08
18.03,26.03,2.93
13.62,16.73,3.08
16.71,25.1,7.12
23.47,38.42,7.74
7.93,7.18,1.75
15.38,22.98,1.7
18.42,30.86,5.05
20.59,32.75,1.6
23.17,40.72,1.7
17.72,22.82,3.42
12,17.72,2.8
11.48,12.04,6.35
15.99,25.26,1.81
18.57,31.83,11.68
22.42,39.73,3.71
16.82,23.76,5.3
23.32,35.96,4.45
25.23,42.19,4.82
26.57,44.39,5.49
24.4,43.91,4.5
20.1,31.37,5.01
22.36,34.13,2.94
20.35,34.58,9.33
22.13,34.68,2.37
21.22,35.16,2.4
21.27,32,8.7
19.91,31.22,2.52
23.1,37.51,7.05
10.69,14.31,1.8
21.79,35.47,3.91
29.69,54.7,2.01
21.74,34.4,4.07
24.41,38.99,4.37
17.64,25.43,1.5
19.03,27.26,2.01
21.03,34.2,1.65
16.29,23.99,4.12
20.26,32.58,4.26
20.64,32.28,5.28
13.58,17.32,15.62
23.22,34.93,1.99
27.97,45.81,7.7
19.32,28.88,1.8
14.82,16.31,4.07
17.7,25.35,7.05
19.24,26.92,1.67
20.22,31.67,7.24
22.09,35.77,1.64
18.58,26.63,1.82
21.67,36.88,4.53
15.33,21.48,2.69
24.18,39.92,8.18
24.57,38.67,3.01
22.86,37.38,4.66
22.23,39.41,4.28
22.47,34.73,2.88
18.49,29.76,2.63
24.12,41.09,4.39
26.93,42.84,2.32
17.88,26.14,6.89
14.48,18.18,2.34
14.79,21.55,3.9
18.92,34.14,3.24
29.24,56.21,4.58
14.03,14.03,3.12
21.18,39.52,5.66
24.52,42.49,3.41
13.54,20.26,2.68
19.65,30.9,1.77
14.44,21.34,1.83
20.36,32.18,7.31
24.65,44.63,3.29
21.55,30.58,8
18.84,30.64,5.77
12.15,14.79,1.92
31.18,58.7,2.41
16.29,25.36,7.06
16.45,24.52,8.06
12.08,11.74,5.98
26.39,48.27,4.43
26.94,42.59,3.91
11.38,11.96,3.1
13.48,18.24,5.49
19.45,31.37,4.26
17.42,22.9,7.03
11.42,14.44,4.17
20.39,29.25,4.03
21.28,36.2,3.5
17.87,28.24,6.02
23.79,37.18,9.58
23.08,37.15,1.77
