price,duration,wait_time
24.24,36.74,2.9
14.19,19.11,3.11
16.75,24.43,5.46
18.66,31.05,4.14
24.21,39.39,6.36
18.7,28.78,2.62
17.41,22.92,5.39
20.44,29.95,5.37
17.79,24.29,3.19
25.5,42.2,1.78
18.87,27.1,4.72
15.97,24.17,2.58
23.71,41.44,10.92
16.85,24.21,8.76
20.72,33.83,1.57
23.78,39.12,6.93
13.71,19.81,2.12
26.33,44.28,1.62
21.55,30.41,1.95
24.74,41.23,2.53
20.07,29.55,7.65
14.23,16.5,17.98
17.31,22.76,2.54
17.14,26.71,10.52
13.82,18.65,12.29
15.23,25.18,2.06
28.55,47.6,2.6
24.45,40.33,2.35
27.27,47.1,4.36
17.2,23.07,4.07
14.67,21.78,4.38
15.99,23.92,1.59
16.34,23.93,4.29
22.72,38.14,1.56
16.72,23.17,4.82
18.9,28.46,8.61
27.62,47.51,8.6
14.21,18.13,3.54
19.06,31.07,4.04
15.09,23.71,3
16.09,20.02,2.18
15.35,20.89,3.45
20.49,33.8,5.8
23.87,39.73,5.81
18.73,28.7,3.15
27.15,47,4.61
17.36,24.82,4.55
18.01,24.66,7.13
19.15,29.84,28.74
19.79,30.99,3.99
25.62,44.49,5.61
15.32,24.26,2.55
14.57,23.47,4.23
23.53,34.65,5.64
23.3,34.08,3.33
21.27,32.26,3.51
14.81,19.07,3.63
21.65,37.35,5.78
11.15,13.07,1.56
22.07,36.86,2.01
19.55,32.83,3.93
17.92,23.98,4.73
25.9,44.75,5.48
14.11,16.66,6.22
18.45,23.32,1.81
19.66,32.78,2.05
10.47,9.57,2.46
20.55,34.01,9.62
20.98,31.39,2.06
20.53,27.95,2.66
14.72,25.6,2.14
12.93,17.3,5.25
11.78,14.4,1.66
30.36,51.69,2.67
20.22,31.98,1.61
15.93,23.15,1.64
20.58,34.54,6.74
11.05,13.8,2.76
18.36,25.08,11.31
23.12,38.58,9.34
33.32,60.06,6.64
13.74,19.03,2.42
22.36,34.97,2.46
13.24,15.88,3.16
26.79,46.44,2.6
22.74,35.75,3.12
18.44,30.59,10.88
21.51,33.61,2.98
24.47,35.3,4.17
25.29,40.48,4.08
25.3,38.98,4.45
14.74,20.46,5.06
24.28,41.63,3.87
14.34,18.76,1.92
9.24,6.58,2.76
18.17,29.71,4.84
24.12,37.57,6.94
20.08,33.76,3.4
20.87,28.16,1.58
14.7,20.37,2.52
