price,duration,wait_time
21.08,32.51,5.66
19.5,30.63,1.74
20.72,33.78,9.08
15.02,19.54,10.08
17.9,23.98,2.15
11.68,12.38,8.42
22.97,38.98,2.96
20.34,32.84,2.14
24.85,39.81,8.42
26.57,49.31,3.25
22.64,32.99,10.25
21.17,32.46,2.8
11.57,9.12,2.99
13.91,16.97,4.19
22.19,30.22,4.77
14.78,20.79,2.59
16.19,25.96,1.99
19.1,26.41,1.84
12.53,15.81,5.44
22.45,37.71,11.28
20.71,36.41,8.64
23.12,37.87,2.71
22.72,38.14,1.56
21.99,38.59,6
18.11,27.5,2.53
24.13,39.63,5.23
19.3,31.96,8.41
20.68,30.38,3.67
20.56,36.01,1.9
22.9,39.69,6.18
27.08,46.22,2.02
12.58,13.85,3.78
18.46,27.17,3.23
18.73,30.16,3.26
21.41,34.33,2.2
21.59,29.96,16.94
19.41,29.01,6.37
10.48,5.83,2.17
18.87,30.89,4.73
22.4,38.65,1.9
18.08,26.69,1.63
19.52,31.97,3.62
13.41,16.23,2.4
22.01,32.11,1.74
20.61,28.09,2.46
12.92,16.1,1.88
26.43,45.17,6.18
23.73,42.11,9.65
21.63,34.61,1.84
12.31,14.02,14.72
17.12,27.11,2.73
12.48,12.44,5.02
14.8,18.82,2.31
17.94,26.73,4.16
24,40.43,1.68
15.01,18.92,4.69
17.37,22.53,7.3
20.4,29.82,16.53
16.08,22.09,4.31
19.25,31.98,7.9
19.58,30.69,2.19
23.5,36.51,10.86
16.08,25.41,2.11
19.1,31.43,10.67
34.63,65.2,5.27
13.14,15.87,7.3
14.58,20.13,1.54
29.75,47.59,6.22
17.52,26.61,1.52
19.26,27.99,1.64
23.56,35.61,7.02
24.04,42.16,3.06
15.48,19.9,4.88
26.5,45.3,10.67
22.29,34.59,3.45
16.45,23.83,4.87
22.23,35.32,2.11
20,32.75,2.35
18.48,26.78,9.87
13.68,17.86,6.08
24.25,40.78,2.06
23.37,38.35,2.99
23.51,39.53,4.92
29.45,49.09,3.3
25.83,40.56,4.47
13.62,15.39,7.11
18.22,27.58,11.58
24.67,42.1,4.04
21.07,29.86,4.74
18.57,30.03,2
14.98,21.28,1.89
14.06,19.21,4.12
12.47,9.62,2.41
24.09,40.17,2.25
20.37,32.55,3.83
16.08,17.67,9.62
28.3,47.71,7.46
15.73,24.37,3.65
21.39,31.02,6.73
14.4,20.42,11.55
