price,duration,wait_time
23.77,35.47,1.86
26.14,44.97,10.23
14.99,19.41,9.75
23.46,40.05,9.07
13.16,15.12,8.09
8.71,6.11,8.38
14.95,24.42,13.52
15.92,21.67,10.6
17.8,26.87,8.75
25.7,47.35,12.22
13.04,18.43,4.38
23.64,41.4,3.95
25.33,43.55,5.78
14.66,21.18,8.37
13.08,19.68,5.04
24.41,40.25,9.19
26.19,47.14,2.25
23.93,38.87,2.16
15.84,19.96,4.29
20.12,32.65,2
27.36,47.44,6.47
18.67,25.84,1.94
29.03,45.21,1.55
14.92,15.65,3.4
15.06,18.55,2.5
17.1,23.8,2.54
15.42,20.73,5.6
17.34,23.97,2.76
27.72,45.32,15.94
22.06,36.54,1.84
17.51,27.44,2.09
15.77,22.88,2.02
19.45,27.73,2.72
19.49,30.87,14.17
23.8,38.42,3.27
18.73,28.22,2.94
19.98,30.09,10.28
18.16,26.91,3.88
12.53,21.67,12.28
14.02,17.41,1.77
17.38,25.19,2.59
20.5,35.52,3.57
21.08,36.03,3.52
21.16,36.08,3.53
21.6,33.3,2.48
16.86,26.89,6.61
26.42,46.65,1.87
19.39,27.82,2.79
22.1,35.56,2.46
18.19,31.66,2.58
20.9,33.2,3.47
25.43,40.83,4.37
17.27,28.99,10.25
14.94,20.84,1.58
23.81,36.44,3.41
18.13,28.82,11.64
20.52,29.66,10.95
26.04,45.09,3.88
19.24,30.04,2.82
20.63,31.52,2.56
14.82,15.69,8.09
24.12,40.84,2.87
23.84,40.84,7.83
23.53,38.95,6.77
12.95,15.15,1.63
23.46,40.44,3
15.46,19.94,3.77
19.01,30.84,9.69
15.79,21.14,6.5
16.11,21.37,5.34
18.58,34.37,2.86
14.08,16.89,4.51
23.05,36.68,1.62
21.96,35.91,2.2
13.27,13.77,2.62
26.38,43.9,2.84
18.51,29.95,1.89
24.08,40.49,2.26
25.89,43.5,10.23
21.67,37.33,3.92
17.2,25.27,2.42
22.51,41.29,4.68
17.89,27.44,8.71
15.32,21.58,3.4
18.64,28.4,2.28
28.49,50.28,3.77
14.73,20.31,1.55
16.45,26.33,4.52
25.17,42.96,3.53
22.6,37.21,1.87
16.73,25.76,4.44
29.82,50.97,2.2
15.72,21.7,6.9
7.44,4.81,3.21
20.84,36.25,1.54
17.11,21.53,3.23
14.23,19.02,6.99
26.45,45.84,1.64
20,32.97,4.13
23.24,36.46,1.8
