price,duration,wait_time
15.07,18.84,1.55
14.68,20.87,2.92
15.19,21.54,3.69
12.64,16.19,1.61
26.79,42.88,3.26
18.26,27.89,3.13
20.83,33.05,12.92
23.48,35.6,20.49
22.31,32.19,1.68
14.09,21.25,5.14
21.21,30.54,8.11
20.46,31.94,8.29
26.03,39.68,6.27
19.08,28.93,2.27
14.65,19.41,2.78
20.12,30.67,5.04
28.45,46.54,3.67
20.71,31.31,10.38
25.96,47.85,1.7
19.68,29.56,3.19
12.82,15.05,5.44
17.69,23.37,3.73
24.64,42.46,10.62
21.2,32.61,8.95
23.34,37.1,1.67
27.24,44.17,4.54
24.38,42.16,2.74
18.53,28.16,4.37
20.2,32.18,9.04
15.76,22.86,12.15
16.72,25.64,3.37
14.03,17.54,1.65
16.35,24.05,2.65
20.44,30.6,5.03
23.2,34.05,1.51
22.71,35.32,3.3
19.07,26.5,2.57
22.8,38.71,2.01
16.59,22.08,5.12
20.24,33.96,6.16
23.74,37.34,6.75
13.16,16.45,7.09
23.51,33.87,2.87
25.25,39.25,2.98
18.6,27.47,1.82
17.88,25.18,7.11
16.61,22.87,3.39
21.93,38.55,3.93
23.5,39.75,2.8
23.21,36.38,1.75
17.87,25.22,3.12
16.75,21.32,1.88
15.55,20.39,2.79
21.64,37.72,2.9
21.41,35.58,1.9
20.5,28.54,1.54
23.51,37.46,1.92
27.83,45.8,5.48
18.51,30.68,2.42
19.24,29.2,2.15
18.67,24.07,1.69
28.9,51.64,4.46
19.73,31.72,3.7
11.59,15.34,2.24
15.09,17.28,6.01
20.79,31.86,12.4
14.9,20.2,2.28
15.91,19.65,2.2
21.24,35.76,3.38
22.62,38.91,5.8
15.36,19.91,2.52
23.65,36.33,9.67
20.9,31.85,2.36
20.08,33.91,5.07
25.78,40.8,5.56
25.23,42.4,6.27
17.01,19.78,7.23
10.42,13.11,6
22.62,41.56,4.89
20.15,30.47,2.5
18.95,28.66,5.26
14.02,19.76,4.16
23.37,39.25,4.44
23.46,39.28,2.76
17.08,28.05,3.69
21.47,33.68,10.64
24.71,42.32,4.39
19.33,29.34,1.62
17.05,27.96,1.52
18.26,33.09,5.71
7.29,4.9,2.37
23.13,36.42,3.86
17.61,25.19,3.11
22.9,36.25,6.27
20.3,35.1,1.68
23.06,36.98,9.13
14.16,20.17,3.86
20.24,33.92,3.09
11.43,13.44,3.3
14.29,19.99,2.28
