price,duration,wait_time
18.54,26.6,2.31
20.63,35.32,3
12.34,11.59,1.76
24.61,42.94,6.09
24.59,40.4,5.15
19.27,30.3,1.65
20.74,35.84,10.67
10.47,11.63,1.51
16.11,22.31,1.67
13.28,15.31,2.09
24.6,41.66,4.02
14.05,17.51,5.18
22.66,32.56,6.43
20.47,30.84,8.38
24.95,40.48,1.57
18.09,28.84,6.53
23.01,37.63,3.35
17.41,25.45,4.05
24.44,43.17,5.71
27.09,41.76,2.46
25.83,40.56,4.47
24.38,41.18,3.09
23.87,40.25,3.74
14.59,19.82,2.65
22.04,33.31,1.7
16.25,24.94,3.8
16.33,24.73,2.93
20.91,32.52,3.25
19.24,28.62,6.2
19.3,31.01,2.21
18.38,26.11,2.81
17.18,25.38,2.26
11.93,14.57,4.1
16,23.18,2.56
22.69,37.44,4.16
17.8,25.82,4.26
15.75,25.92,3.2
20.91,32.58,2.38
16.41,25.56,2.72
18.4,30.57,1.52
19.68,34.91,15.69
22.2,38.39,6.16
27.27,44.95,1.58
26.81,46.85,2.57
16.68,24.5,2.01
19.41,30.23,1.68
22.85,39.03,8.76
19.27,33.9,7.9
15.23,19.19,2.4
25.33,39.4,2.47
17.05,23.68,10.55
10.38,8.45,3.26
23.34,36.3,2.33
12.29,17.32,2.36
11.2,10.08,3.59
14.59,22.99,2.75
19.83,27.22,7.74
19.07,27.82,3.71
23.99,38.42,3.41
18.1,30.7,5.77
22.51,33.83,3.57
21.41,32.1,5.07
18.43,27.24,15.27
12.05,10.79,8.23
19.48,31.55,1.53
14.98,19.93,2.12
25.53,40.15,1.59
19.78,27.34,10.48
15.97,22.9,5.29
16.28,21.82,2.23
17.27,27.67,3.72
17.11,23.83,9.91
20.1,31.95,4.54
11.62,13.97,3.22
20.36,32.18,7.31
30.28,53.28,3.65
22.27,36.17,2.27
19.08,27.46,1.5
18.5,28.69,4.52
17.04,25.34,4.53
21.59,31.47,5.34
18.73,27.13,6.51
22.69,32.17,10.68
16.17,25.4,4.76
21.58,35.6,2.57
22.06,41,2.63
11.58,15.29,3.92
12.33,15.19,1.61
21.58,31.68,6.94
16.72,21.93,17.68
15.25,21.4,1.94
20.72,34.18,4.64
29.84,50.99,2.61
15.83,21.27,11.23
24.24,41.98,2.23
16.8,25.92,4.53
28.74,50.5,2.72
27.82,47.29,1.54
18.6,29.83,1.9
29.64,49.44,6.47
