price,duration,wait_time
21.49,30.39,2.24
20.27,33.08,3.92
16.76,23.73,4.19
18.42,28.31,12.64
18.58,28.68,10.61
20.37,34.52,5.52
20.03,30.67,2.6
18.07,28.8,7.11
14.33,20.13,4.45
20.57,32.05,6.29
18.91,25.48,3.04
19.93,30.54,4.5
18.69,26.93,2.32
19.64,29.14,4.87
22.44,37.78,2.78
21.33,32.41,2.33
7.27,5.9,6.7
20.77,36.78,2.75
23.72,43.05,9.56
13.48,20.37,5.6
17.29,26.24,6.29
21.01,31.16,2.84
22.91,33.84,4.85
22.74,35.28,3.13
23.26,40.88,2.47
13.16,14.84,3.46
20.53,30.98,2.95
21.83,30.44,4.87
29.25,51.14,5.94
16.33,22.59,3.48
16.96,25.13,4.59
21.39,33.64,16.98
23.4,38.72,2.33
17.3,23.83,3.18
10.09,10.37,1.9
25.92,45.28,2.17
22.3,32.75,4.56
19.65,32.22,7.67
21.25,35.64,1.65
21.48,32.14,4
21.84,35.5,2.59
16.38,23.51,2.29
18.04,26.55,12.14
19.58,30.41,3.61
25.52,40.61,2.88
16.24,20.53,1.88
21.56,34.81,2.09
25.09,44.62,6.15
18.87,26.72,2.23
14.42,19.64,2.18
17.16,26.73,10.43
18.98,27.99,4.83
14.98,20.24,1.51
25.47,42.92,2.52
14.79,24.74,4.4
14.93,20.71,2.19
24.07,40.41,5.36
30.08,48.8,2.72
14.77,21.3,2.64
21.28,33.16,2.74
27.12,46.87,5.26
13.42,19.61,3.07
17.02,25.77,5.25
18.68,28.07,3.12
18.91,30.58,4.29
22.68,37.76,4.91
18.36,29.63,3.78
15.32,18.72,1.83
15.3,22.36,5.7
20.66,34.02,3.46
18.58,25.95,5.39
15.37,21.15,2.24
20.1,35.7,9.39
17.73,24.95,1.59
20.99,32.16,2.3
23.57,34.99,2.45
18.93,24.55,4.06
12.62,14.52,3.48
13.12,14.69,8.67
16.41,23.25,2.52
24.59,39.38,3.76
13.96,18.23,3
19.82,28.47,12.21
14.89,21.63,2.49
22.59,34.27,7.59
19.23,26.89,3.88
23.67,41.08,2.65
19.36,29.07,2.17
13.6,15.02,2.9
17.61,25.19,3.11
16.81,27.02,2.55
24.14,41.1,11.26
9.03,11.66,4.92
24.63,40.12,3.35
20.08,32.33,4.6
24.87,39.5,5.95
23.16,37.57,5.93
19.44,28.05,1.87
14.76,15.39,19.72
9.84,9.21,5.23
