price,duration,wait_time
16.49,25.16,12.63
20.27,35.57,4.08
21,33.24,2.26
20.4,33.01,3.83
27.74,44.62,5.6
25.36,42.67,3.17
20.58,32.95,1.64
9.87,13.26,5.17
27.79,43.21,4.6
19.2,29.63,4.45
26.32,44.06,2.67
24.93,43.18,1.69
17.92,29.47,4.94
18.57,28.16,3.31
25.24,38.42,2.35
21.85,42.13,2.99
17.25,25.99,2.38
16.39,21.25,3.09
13.91,17.66,2.4
20.84,30.41,7.54
18.69,28.6,3.23
15.6,23.35,3.1
28.25,46.65,8.4
15.23,23.19,2.24
8.29,6.79,1.66
13.1,19.48,3.53
19.17,31.46,9.61
12.91,14.28,2.5
15.86,21.26,2.46
23.51,41.36,3.23
19.13,31.27,4.69
20.54,35.68,4.28
22.39,33.63,3.89
11.23,12.57,9.18
32.63,56.86,1.8
25.06,41.82,2.66
17.18,26.66,5.27
21.1,34.18,4.04
26.22,45.44,2.36
18.95,30.56,9.54
23.56,36.08,1.71
10.69,8.4,2.07
23.94,42.51,7.82
18.98,30.86,4.09
26.46,45.61,1.61
20.37,31.11,2.41
16.8,24.65,2.41
25.73,39.17,5.23
28.96,51.17,3.45
17.93,24.91,4.47
15.37,23.27,5.86
25.05,39.44,5.61
20.53,34.48,1.67
23.23,45.34,4.04
24.59,37.22,5.48
17.78,22.68,5.76
16.19,23.61,7.24
9.95,12.11,2.05
17.36,28.12,5.16
18.8,29.38,3.6
29.89,52.87,3.51
28.6,51,3.56
24.57,41.58,7
20.53,30.98,2.95
18.35,25.4,3.6
22.31,34.84,2.73
21.1,33.72,2.11
12.25,18.98,2.16
20.59,29.79,3.9
14.4,16.42,2.36
20.53,29.81,2.95
15.72,22.86,5.71
20.08,31.26,5.38
21.58,34.36,4.61
23.54,39.46,3.04
20.5,33.83,2.4
13.79,23,6.55
15.86,22.11,2.73
20.79,31.9,7.27
27.35,46.27,3.28
24.07,39.61,1.66
18.62,31.89,2.05
18.21,32.76,5.5
18.42,31.03,4.55
19.6,28.46,9.18
23.38,40.21,7.3
16.15,25.19,2.31
21.88,34.11,1.84
24,41.93,1.89
19.66,33.79,3.3
18.61,29.13,4.08
16.39,26.14,4.3
18.42,28.93,2
27.37,46.89,3.91
24.11,42.77,2.62
14.21,19.45,5.04
26.86,41.97,6.06
25.15,41.71,1.61
13.88,19.06,5.81
21.84,33.05,2.06
