price,duration,wait_time
22.85,32.09,2.09
19.89,31.72,3.63
12.89,15.3,1.69
23.31,40.29,2
11.21,12.26,3.63
15.7,22.24,1.51
17.58,23.23,13.19
18.62,28.24,2.07
12.7,16.24,1.89
21.69,31.48,2.61
12.45,14.1,1.95
24.05,41.01,3.59
18.91,29.92,2.32
15.91,21.13,3.5
17.86,27.07,4.43
10.28,10.28,7.24
20.89,28.5,4.08
24.27,40.42,6.49
18.32,24.82,5.9
20.45,33.19,3.44
25.35,47.05,1.5
11.1,9.6,2.5
23.93,37.51,1.56
24.71,42.37,1.57
13.34,13.81,9.56
14.92,15.63,2.53
12.61,14.83,2.34
14.59,20.18,3.2
28.2,49.23,4.27
19.47,31.61,1.56
17.09,23.24,7.72
25.23,38.8,6.3
19.31,26.86,3.48
22.53,31.89,5.13
12.98,16.48,1.91
16.46,19.43,4.72
19.23,28.86,3.44
22.49,30.59,8.29
17.47,24.69,10.47
14.8,19.75,4.08
22.42,32.5,7.45
17.22,22.26,2.83
14.69,16.04,5.6
18,27.58,5.37
28.08,46.53,5.08
20.62,28.57,17.63
18.2,28.37,2.33
15.2,21.67,3.24
16.52,26.18,7.23
23.95,38.17,3.1
16.73,23.35,3.11
20.13,30.45,4.59
19.29,30.99,8.87
16.75,26.26,6.29
9.32,8.04,3.34
15.77,25.05,2.11
15.56,23.66,7.8
26.69,43.12,4.41
19.78,29.95,5.14
25.02,40.97,1.92
16.69,20.07,10.2
27.05,46.34,5.58
19.11,33,4.89
24.08,42.68,10.6
20.33,35.18,10.93
19.42,24.27,2.46
24.94,45.52,3.26
12.31,17.25,2.7
15.07,17.18,1.82
10.48,10.74,3.25
14.41,19.72,4.94
15.21,23.63,7.28
11.72,12.68,4.03
21.83,33.43,5.68
14.47,19.96,3.95
21.26,33.33,5.07
20.08,31.26,5.38
20.84,36.66,1.9
20.92,31.51,5.85
17.42,25.65,2.26
23.36,39.93,2.04
26.17,41.02,2.75
16.5,21.62,6.05
22.13,33.76,11.61
20.59,28.69,3.14
14.16,23.79,2.29
17.27,25.16,1.5
18.56,27.3,2.64
19.13,31.45,2.14
19.54,30.34,5.53
21.62,34.83,3.25
21.83,36.37,2.07
19.85,30.31,2.11
14.77,22.76,1.59
19.81,28.35,1.9
20.98,30.78,5.91
19.22,33.44,3.32
19.56,31.35,4.51
23.42,36.01,2.85
22.86,36.32,5.09
