price,duration,wait_time
14.07,15.93,4.42
28.08,47.1,5.26
20.78,32.36,1.74
17.87,21.8,5.27
19.51,31.27,5.23
11.19,10.69,5.73
19.39,30.31,3.67
19.17,29.27,2.34
22,37.81,6.07
21.25,31.59,7.15
18.21,26.05,3.35
22.44,38.27,2.63
13.58,16.06,7.26
12.59,18.53,8.92
10.91,11.57,1.63
12.89,16.77,7.49
16.52,25.44,4.43
26.62,45.04,2.33
16.47,25.6,5.93
17.09,23.94,4.37
16.81,25.52,3.96
13.69,13.79,5.03
25.19,41.22,1.6
20.31,31.37,2.23
11.68,12.41,1.69
8.82,12.66,3.01
21.48,33.71,3.1
15.26,20.87,12.02
24.9,42.03,14.96
30.41,53.9,1.99
18.47,28.18,4.87
20.86,34.39,2.75
21.19,33.9,3.07
14.48,21.9,6.13
15.22,18.2,6.92
23.24,38.86,4.83
22.57,38.07,4.28
20.29,31.12,2.53
16.12,26.28,1.91
13.9,17.31,4.22
14.73,19.9,5.12
21.55,33.92,3.34
16.59,29.04,2.04
20.29,30.38,3.59
29.36,50.19,1.71
12.88,14.11,2.82
22.46,34.27,2.29
23.9,41.42,4.64
13.73,19.96,10.89
24.34,40.16,4.61
17.16,22.27,5.02
17.79,25.8,2.12
16.71,24.88,2.56
21.92,34.82,2.39
13.76,20.4,1.91
18.68,26.61,4
24.69,40.9,1.62
22.89,33.97,8.47
22.86,36.98,2.47
16.67,25.68,4.62
22.62,39.31,3.62
16.45,20.61,2.24
25,42.58,11.55
17.14,25.62,1.66
19.43,28.22,2.23
20.06,30.93,5.87
10.64,11.87,6.26
18.34,27.04,12.33
27.15,44.34,5.06
11.29,10.26,2.57
22.31,34.54,8.52
11.09,10.93,16.09
25.24,43.82,6.31
26.86,47.67,2.06
12.84,11.39,6
14.41,19.67,6.62
17.89,22.8,3.61
16.91,23.32,6.44
24.77,39.1,19.03
15.25,22.78,7.96
12.12,10.57,4.09
18.14,31.77,12.11
13.11,13.99,3.19
10.59,14.39,3.12
21.94,33.47,2.11
22.46,34.51,5.92
22.94,34.64,2.6
18.09,29.37,4.35
21.6,35.47,1.78
31.09,55.91,7.18
29.49,51.22,2.07
20.22,34.49,2.07
13.2,14.67,2.62
18,25.01,3.79
20.15,26.67,3.5
17.9,29.73,1.82
19.03,30.17,2.13
20.86,34.9,3.58
20.17,28.74,6.44
25.12,42.21,2.95
