price,duration,wait_time
18.96,26.01,1.88
22.41,36.54,3.11
20.1,31.07,4.95
11.81,14.07,8.12
9.68,10.04,4.06
16.09,25.81,2.29
22.46,34.51,5.92
21.95,32.37,9.84
16.77,22.04,12.23
17.93,28.85,2.42
20.26,29.01,3.65
15.08,17.73,4.07
16.93,20.84,5.06
25.9,41.98,5.1
19.62,30.27,1.66
26.48,44.13,4.58
15.41,25.85,2.06
18.68,27.7,4.94
18.95,28.66,5.26
20.89,29.01,1.89
27.06,46.1,8.88
24.21,40.99,1.93
13.59,17.46,2.14
16.69,25.95,2.02
23.02,34.58,1.69
16.67,26.24,1.58
26.31,40.64,4.58
15.96,21.44,1.85
11.11,11.84,2.64
25.58,40.47,5.74
21.55,37.34,1.55
22.74,39.15,2.67
21.39,32.93,1.86
13.33,17.12,1.78
17.71,25.68,2.94
15.48,23.01,1.64
24.68,43.15,14.35
16.22,19.38,10.25
35.14,61.28,3.07
24.8,42,2.88
16.81,26.4,6.43
21.85,35.36,3.22
13.59,17.47,6.48
15.45,19.85,2.15
18.12,27.98,3.69
26.35,47.59,2.17
21.62,34.48,2.38
18.38,28.3,10.18
18.94,29.39,5.34
19.34,26.01,2.41
19.51,29.19,3.44
14.56,19.11,6.59
18.42,25.59,3.05
12.6,17.85,11.79
20.78,30.51,1.95
15.83,19.21,4.6
27.23,42.66,5.92
18.07,27.54,2.7
16.58,23.44,2.71
21.8,33.89,4.41
18.88,27.62,2.77
15.17,27.45,7.2
18.88,24.59,1.86
16.14,22.77,1.89
19.71,28.21,2.31
25.63,43.61,2.05
19.19,29.27,3.48
15.9,23.68,9.69
19.52,30.93,6.66
26.07,46.7,3.17
16.42,26.4,1.55
20.99,33.58,10.07
21.84,35.22,5.28
17.37,25.24,14.04
12.72,19.24,4.44
23.09,38.13,4.94
21.59,29.96,16.94
19.46,30.69,8.85
25.15,42.06,7.57
25.57,41.19,9.8
25.72,47.23,4.31
18.36,27.57,2.4
26.59,45.21,8.81
16.93,26.19,7.84
19.7,30.55,13.63
23.83,40.67,2.15
13.83,20.18,1.89
23.29,36.54,1.66
28.3,47.32,4.43
21.16,31.87,2.21
16.55,23.07,2.12
22.92,37.24,1.54
16.91,24.31,8.98
15.44,24.62,3.67
20.75,34.82,8.59
17.22,25.94,1.72
19.7,30.45,2.02
24.2,38.1,3.08
17.92,24.33,3.11
22.24,39.12,2.39
