price,duration,wait_time
20.26,29.87,18.08
22.71,41.44,2.32
26.42,41.2,6.94
23.26,37.27,2.15
18.35,26.32,4.65
18.68,28.4,2.47
21.07,36.5,8.6
27.82,48.54,7.7
18.35,26.38,1.82
17.07,21.51,1.63
18.48,28.95,1.95
23.09,36.6,5.26
27.3,45.96,8.18
29.64,51.48,1.57
26.06,44.48,2.08
18.86,27.55,6.36
18.61,29.09,3.73
15.07,19.9,3.86
18.59,29.06,1.83
17.25,25.51,5.14
18.56,24.59,6.35
19.87,32.84,4.28
26.04,44.2,3.14
23.04,34.52,6.08
14.5,19.52,1.72
21.05,31.1,1.64
19.05,30.8,2.34
19.2,30.86,2.23
23.37,38.45,3.01
24.63,38.88,4.82
21.91,36.83,6.46
19.75,31.86,10.22
22.02,39.21,2.46
15.25,23.36,5.22
13.78,15.63,8.7
12.4,14.97,2.08
15.22,23.45,1.71
13.33,15.51,6.92
25.84,44.8,4.25
17.66,27.31,2.07
23.93,43.56,1.72
16.3,23.88,3.04
18.95,32.04,4.86
14.34,19.64,2.06
33,56.27,2.46
27.43,45.77,2.42
18.19,23.33,5.94
26.67,47.77,1.85
21.78,33.34,6.99
17.44,24.59,3.19
26.16,43.54,6.39
11.9,12.76,5.49
20.35,31.88,2.95
9.9,5.3,3.1
18.76,25.75,2.14
19.96,32.28,2.61
20.11,27.73,3.59
17.72,29.72,3.01
15.11,22.14,5.96
20.36,32.74,3.86
21.29,36.22,1.58
25.85,44.69,5.62
16.4,27.18,1.88
18.06,27.37,3.28
22.21,35.52,3.14
23.9,37.09,3.5
23.11,36.27,2.91
19,26.46,4.42
17.89,31.77,1.86
18.24,27.86,4.99
21.66,33.15,9.66
19.5,31.11,5.65
26.21,43.86,2.02
20.55,34.42,2.38
16.18,25.05,10.35
18.24,31.42,6.91
24.04,40.08,6.57
27.54,48.47,2.07
22.55,36.41,10.44
25.03,42.11,2.61
28.17,46.42,1.76
18.92,32.2,2.28
13.65,17.04,6.06
20.29,31.74,6.07
21.22,33.23,1.51
25.65,42.48,2.01
16.96,20.93,7.6
20.58,30.22,4.71
25.53,47.72,4.94
14.84,18.77,3.27
19.06,27.55,6.36
15.34,19.35,1.59
19.05,28.1,3.54
20.88,34.93,6.83
24.34,40.13,4.2
23.27,37.47,5.66
15.07,19.86,3.82
21.03,28.52,8.95
28.05,47.52,1.65
20.28,30.75,4.8
