price,duration,wait_time
11.77,16.77,2.81
21.53,33.6,1.91
12.65,12.58,10.44
19.23,27.96,11.51
8.26,7.48,2.33
21.34,33.57,1.72
23.43,39.55,2.32
16.46,25.01,5.72
20.6,35.56,1.65
21.6,32.17,2.41
19.65,31.07,4.63
19.07,26.5,2.57
20.9,29.67,2.47
15.18,18.77,2.31
15.98,23.55,1.74
23.62,41.23,3.05
16.86,27.36,7.64
13.06,15.77,4.45
21.91,33.74,1.81
14.14,17.43,7.44
23.3,38.09,7.92
24.83,39.66,4.05
20.25,30,1.87
23.42,38.75,7.75
23.5,37.18,3.96
22.61,33.33,1.94
14.83,21.76,5.73
10.37,11.92,5.71
17.48,27.66,4.56
20.37,33.9,10.3
19.73,27.51,4.28
19.69,33.4,5.67
18.71,28.08,1.93
9.3,11.08,4.73
25.83,44.79,3.27
19.28,30.29,4.19
23.4,42.23,1.9
19.44,32.55,3.91
26.27,47.58,2.1
25.64,41.11,10.76
21.34,34.21,10.06
25.88,45.45,1.68
15.16,19.64,6.56
9.4,5.68,5.22
16.7,24.07,3.79
17.19,24.31,7.82
17.66,24.58,2.04
23.69,41.47,2.49
16.04,20.37,2.45
18.63,26.78,2
16.92,22.62,2.51
17.05,22.71,4.99
17.45,24.62,2.36
18.97,28.9,6.8
25.6,41.2,2.34
18.51,27.52,2.97
21.11,34.6,2.62
20.91,36.05,3.23
17.09,25.84,3
13.45,15.75,4.73
17.28,25.1,11.47
17.87,25.22,2.85
20.52,32.63,1.99
12.85,13.2,2.18
22.67,38.02,5.01
18.8,24.26,6.14
19.06,34.38,3.35
17.91,23.99,4.06
20.84,31.12,4.7
24.28,42.5,15.42
18.96,34.21,1.7
21.07,32.41,3.82
20.07,30.23,3.93
20.93,38.34,4.91
18.46,31.45,1.85
23.83,38.59,2.36
22.71,35.3,7.47
17.78,27.11,4.4
23.7,39.7,3.86
26.84,45.28,3.15
23.13,37.93,3.63
19.29,32.59,3.52
18.62,26.93,1.53
17.87,27.83,2.6
22.35,36.68,2.18
24.26,37.46,15.07
13.74,17.76,3.52
20.25,28.57,1.52
17.95,25.53,2.87
24.1,40.99,5.11
30.8,57.7,1.65
18.73,28.62,2.55
17.39,22.38,13.73
16.33,23.41,13.28
24.39,42.34,4.89
20.86,35.75,2.3
19.83,30.02,9.23
11.76,14.84,1.82
21.1,31.56,5.64
19.26,28.05,8.97
