price,duration,wait_time
24.83,43.2,7.76
16.79,26.01,1.93
22,31.45,5.62
17.23,24.53,3.12
20.62,31.65,7.38
15.99,25.26,1.81
21.82,36.69,1.66
16.48,23.47,2.27
17.92,27.09,2.19
14.83,19.16,2.78
17.05,25.48,3.82
20.11,32.98,5.7
22.15,38.23,3.21
18.57,30.47,13.28
20.66,35.02,1.56
24,39.72,5.17
22.02,37.09,2.53
18.55,30.22,5.83
19.05,26.63,12.49
20.1,32.89,4.45
13.9,19.79,2.3
20.89,33.27,1.69
22.86,36.44,2.71
12.26,14.1,2.35
14.61,24.31,7.53
20.52,35.37,5.44
19.75,30.33,2.72
17.28,23.35,13.2
19.95,31.58,4.68
22.4,38.67,2.28
30.58,52.74,3.12
16.61,20.25,2.71
14.49,18.49,2
20.08,33.02,4.24
11.4,12.88,3.97
20.13,31.67,3.61
19.63,28.93,5.53
14.41,19.11,5.86
12.44,17.7,4
20.83,33.38,2.78
21.94,35.11,4.67
26.24,45.17,7.08
24.54,41.87,5.8
14.77,19.49,12.6
25.33,44.75,3.87
18.44,27.72,2.82
20.53,32.31,4.54
17.36,25.73,5.91
24.31,40.38,1.98
27.21,44.76,3.12
20.05,31.62,5.48
17.74,22.02,7.01
20.04,31.61,3.1
24.61,38.68,1.59
18.38,28.72,1.92
15.67,25.01,6.54
17.34,28.52,1.55
15.19,24.01,3.28
13.48,18.59,3.4
15.05,21.33,1.86
20.99,32.65,3.95
13.55,18.97,5.46
22.38,35.59,4.9
22.67,38.04,8.37
25.24,41.19,3.42
11.62,15.28,3.39
22.07,36.79,2.04
31,53.22,1.66
21.64,35.93,3.42
10.08,4.68,7.51
24.24,40.1,3.31
17.48,28.32,2.19
19.86,29.65,14.68
20.75,34.6,3.33
15.92,23.4,7.98
24.99,41.18,1.87
16.59,20.27,1.66
16.31,22.06,4.35
20.88,34.16,1.66
14.01,18.06,5.79
21.96,32.54,5.93
15.53,25.73,11.32
24.14,42.48,1.88
22.33,34.65,4.17
14.86,16.49,1.92
10.41,13.86,2.79
12.37,15.27,4.95
22.94,38.79,3.25
19.15,26.41,5
17.23,24.89,4.66
15.98,23.85,2.25
23.78,39.72,5.6
22.7,37.1,1.51
19.66,31.72,7.14
19.96,32.72,1.63
26.62,44.25,1.6
15.83,28.02,2.95
20.43,28.25,6.39
18.65,29.27,4.45
25.33,42.45,2.89
