price,duration,wait_time
17.67,26.47,3.77
18.46,26.6,11.78
16.56,24.46,1.83
16.37,23.2,2.7
21.5,33.08,2.57
16.39,24.27,3.94
26.91,47.4,2.28
22.33,38.18,10.36
20.49,32.41,4.92
21.39,33.92,3.81
17.99,24.46,2.38
13.63,20.08,6.26
19.82,31.37,2.13
18.55,27.63,3.02
21.77,37.72,3.32
18.79,27.76,4.3
14.73,19.3,8.99
12.02,14.37,2.39
10.49,10.23,6.13
27.14,48.47,9.28
24.19,39.67,3.15
17.09,28.03,2.88
19.44,28.63,2.23
17.83,28.25,4.85
18.46,30.29,1.68
17.36,25.84,3.58
17.57,28.81,1.57
16.78,25.92,8.88
18.62,29.34,3.09
17.21,22.83,2.89
14.45,17.65,2.38
16.12,26.8,3.15
11.76,12.3,4.29
19.98,30.36,6
20.37,32.59,1.6
20.87,31.32,3.45
17.73,28.47,5.62
19.13,27.18,3.91
19.93,32.18,7.37
23.31,38.62,1.54
20.03,34.16,7.32
20.92,31,3.35
29.03,45.21,1.55
20.5,36.43,2.72
20.01,27.49,8.85
20.84,33.9,4.51
21.24,36.73,3.99
15.94,20.65,5.55
15.84,24.64,2.69
28.13,50.67,2.7
27.36,54.29,1.74
14.85,23.81,2.49
21.45,32.89,3.01
17.99,26.77,4.05
21.52,33.24,3.68
20.75,32.19,3.12
19.14,31.73,2.72
16.82,25.33,2.06
20.89,29.3,6.92
15.67,23.66,4.54
20.48,33.39,1.72
19.24,29.1,2.84
19.77,28.3,3.01
25.19,46.07,6.3
20.65,33.73,1.99
24.14,39.56,3.29
14.96,20.01,6.46
19.62,27.27,1.61
24.08,43.92,8.59
21.62,38.11,3.84
24.67,37.18,9.92
20.85,32.37,3.37
20.46,29.43,2.95
16.59,22.29,13.08
18.93,26.86,3.33
21.19,30.74,2.64
20.31,31.33,5.16
21.85,37.86,5
9.56,8.61,1.51
23.34,37.63,3
15.02,20.59,2.37
21.65,34.24,4.18
18.85,28.86,14.15
18.78,30.3,13.27
20.61,30.5,7.03
18.11,25.2,6.43
26.56,45.35,3.34
22.83,33.1,6.88
21.06,34.77,2.36
15.04,18.68,4.79
24.1,45.32,4.72
19.3,28.5,7.22
22.45,38.3,5.41
11.98,13.61,3.98
21.91,33.56,2.14
13.06,19.75,3.43
14.78,23.17,3.89
22.92,37.65,2.26
18.46,29.54,1.58
20.99,33.02,3.05
