price,duration,wait_time
24.38,42.48,9.54
15.12,21.31,11.87
16.65,24.12,4.35
16.98,25.7,2.23
19.87,28.81,1.93
18.27,27.93,4.8
19.08,27.43,1.56
21.56,34.66,3.99
11.56,11.96,10
24.76,37.67,8.35
16.28,21.56,2.66
19.89,31.09,4.69
18.18,28.49,6.46
22.6,37.62,9.65
22.14,35.23,2.7
11.96,18.18,8.4
22.85,38.63,9.73
19.67,32.51,6.81
21.68,39.39,2.45
16.85,22.68,4.47
16.65,24.8,6.14
16.36,20.07,2.09
16.01,20.02,3.92
19.07,28.04,2.98
16.84,27.85,2.15
18.72,31.09,2.22
22.2,35.81,3.32
25.24,42.46,1.92
14.03,18.5,1.87
18.94,31.97,2.73
16.19,22.46,2.43
18.61,31.74,3.4
10.96,9.87,3.84
13.63,15.69,6.42
12.99,16.92,4.76
15.96,21.98,3.19
20.61,32.79,1.99
23.35,38.12,2.28
13.65,22.63,13.99
22.21,36.21,1.7
13.36,17.03,1.73
24.92,39.67,1.72
25.64,42.41,3.75
20.52,33.56,2.13
17.11,27.21,4.5
14.07,22.06,3.16
20.01,30.25,2.74
20.95,29.87,6.74
15.77,22.85,5.96
19.6,27.28,3.7
26.12,42.08,1.89
23.82,39.65,5.29
21.16,30.88,5.63
21.97,38.11,1.95
12.92,17.85,4.43
17.62,25.1,9.39
8.39,5.14,6.07
20.82,32.75,7.33
16.72,18.33,2.41
11.91,14.8,3.85
14.93,20.17,2.94
23.92,40.01,10.41
13.01,15.64,3.67
17.74,29.5,2.72
25.99,42.43,3.57
22.75,37.7,2.6
21.78,34.41,8.16
18.07,24.47,8.94
16.35,19.53,5.7
21.23,31.96,6.48
22.52,37.27,2.18
19.99,28.5,2.63
26.58,42.72,1.87
22.66,36.67,3.84
23.53,38.08,2.02
11.34,15.88,10.39
21.82,35.69,2.34
24.82,43.88,5.42
20.55,32.72,8.45
12.18,11.17,2.09
19.06,30.04,4.82
24.39,41.06,1.74
16.96,25.68,4.4
18.91,31.07,3.17
15.79,22.52,3.33
26.43,44.07,17.64
13.85,16.88,4.88
18.85,29.51,1.54
22.7,38.61,4.74
14.12,17.07,7.78
22.25,35.26,2.21
24.75,40.4,4.74
9.64,15.1,3.48
18.09,23.43,2.26
16.57,23.35,1.63
13.65,19.69,2.36
15.48,21.42,5.85
22.39,32.21,2.14
17.87,26.01,2.59
19.88,28.46,10.61
