price,duration,wait_time
23.37,34.97,1.94
19.37,32.28,2.32
20.97,35.07,1.7
24.31,40.52,1.87
19.75,27.41,6.63
21.49,33.15,1.77
13.25,19.58,4.29
21.41,34.38,4.03
19.03,29.57,5.42
19.23,28.86,3.44
10.56,9.55,1.59
16.73,22,5.48
12.86,12.99,5.33
15.28,22.34,3.22
21.84,36.13,2.31
20.29,35.39,2.9
19.61,29.31,11.64
17.19,28.21,3.24
28.97,47.35,2.66
23.43,42.06,5.82
13.77,19.62,4.49
17.89,30.39,3.55
21.58,36.26,1.85
21.59,34.42,7.28
20.99,35.81,2.27
20.65,33.74,3.16
8.88,6.62,19.46
20.66,30.28,3.17
24.75,40.24,3.86
13.81,17.5,2
21.09,31.79,5.4
21.72,35.47,1.79
23.36,37.99,7.33
25.65,40.75,1.73
19.93,34.78,1.52
23.54,37.8,1.7
10.64,13.27,2.58
12.5,14.03,1.89
25.91,45.94,3.75
12.83,17.89,13.44
17.44,29.25,3.15
15.06,20.12,2.95
14.78,15.9,7.31
20.31,32.97,3.17
17.61,29.09,8.99
20.62,34.82,2.82
19,29.89,2.1
16.23,21.46,2.1
19.41,30.57,2.52
13.17,16.85,3.36
21.65,35.01,2.15
22.76,39.28,3.51
18.66,27.5,4.1
21.1,35.46,2.83
15.58,21.33,2.42
24.9,41.01,5.09
17.29,29.65,5.85
15.45,20.4,1.54
23.16,35.06,3.87
22.77,36.9,5.6
21.74,35.14,7.32
26.87,44.54,8.63
19.4,34.44,3.09
18.99,28.07,4.68
14.48,21.87,2.9
22.84,35.22,7.62
27.8,46.55,12.48
18.37,28.53,9.57
15.87,22.23,9.17
23.03,37.48,2.2
22.59,38.23,7.3
15.98,20.19,4.48
21.9,36.01,3.09
18.28,29.06,2.87
19.88,27.76,2.46
20.01,29.96,6.82
24.25,42.5,4.88
26,41.36,1.55
22.28,35.11,8.2
22.59,39.45,3.26
25.39,44.43,3.38
11.61,18.11,8.46
22.03,37.38,10.14
21.76,36.39,2.25
22.08,33.04,2.81
12.41,15.86,12.44
28.84,52.79,1.91
25.25,45.02,9.11
17.45,28.17,9.24
10.72,12.68,1.61
20.67,33.67,4.75
25.76,47.09,1.8
17.73,27.45,5.51
23.23,38.54,1.98
26.93,45.38,3.71
18.18,32.32,3.27
15,18.84,6.9
12.81,18.64,5.85
20.23,32.95,7.51
26.32,38.72,1.94
