price,duration,wait_time
15.58,17.39,3.47
13.64,16.93,7.93
20.85,32.11,2.01
18.96,28.59,3.98
20.52,28.19,5.17
24.59,42.43,2.77
14.08,23.46,6.46
25.26,43.38,4.64
23.45,38.8,2.71
15.62,21.49,3.54
17.11,20.82,10.18
21.05,35.25,4.6
15.47,19.52,1.81
23.23,42.28,1.74
14.24,20.04,1.72
22.96,37.15,3.5
17.62,25.33,3.06
23.83,43.64,3.85
8.3,7.05,2.81
20.91,30.41,3.74
23.82,39.79,2.12
24.49,42.16,2.1
23.4,40.19,4.89
12.24,16.96,6.73
24.98,43.53,5.13
12.62,17.11,2.41
21.72,33.52,5.93
23.91,38.14,3.51
28.74,51.43,2.77
24.9,41.57,3.53
17.02,24.02,3.08
14.24,21.12,4.6
17.32,26.92,8.39
11.66,14.26,1.51
17.58,25.42,4.24
9.63,10.85,10.65
24.78,41.96,4.02
21.17,31.4,2.44
22.59,35.65,3.24
18.72,27.44,7.48
11.48,10.68,13.37
10.69,13.57,3.04
23.03,40.91,9.2
18.23,26.55,4.19
23.12,34.76,2.12
18.5,29.2,2.1
22.93,45.29,2.56
16.18,24.27,4.47
11.13,13.07,3.02
19.16,30.76,1.72
21.19,35.72,1.82
14.17,18.74,4.92
25.66,41.2,4.02
23.12,36.79,3.75
21,34.96,5.44
15.07,23.5,7.04
15.87,18.97,9.89
23.51,36.96,5.84
22.43,32.53,1.52
20.67,30.33,7.55
21.83,37.18,8.09
21.42,29.11,6.26
21.83,34.62,2.7
19.44,34.92,2
22.15,34.39,15.16
15.58,21.03,4.64
21.8,36.97,2.21
18.41,29.26,1.66
20.33,31.7,3.62
20.53,34.36,1.84
26.38,43.3,2.35
17.14,22.97,5.33
23.63,39.2,3.6
14.81,20.2,3.14
19.33,32.22,9.51
24.04,39.7,7.16
19.64,30.92,10
10.38,10.02,2.56
26.34,43.72,2.88
13.51,18.83,5.14
17.27,26.9,1.88
15.97,24.32,7.79
16.61,24.35,1.87
17.55,25.6,1.74
17.44,23.21,9.44
18.27,23.79,3.71
21.39,31.86,2.27
25.15,43.34,4.62
11.74,12.98,1.66
23.22,37.82,1.5
24.73,41.13,2.87
21.36,32.73,2.65
8.75,4.02,10.31
17.22,24.82,1.6
24.14,39.02,8.16
19.98,30.4,2.34
18.57,27.4,4.58
21.26,31.23,4.66
13.88,17.17,6.61
14.64,17.51,5.56
