price,duration,wait_time
18.1,29.54,2.33
31.74,58.94,2.11
19.96,31.75,6.27
23.2,38.23,5.47
16.55,24.74,2.39
29.69,49.93,3.27
16.55,23.98,5.02
26.47,44.4,3.34
21.64,32.46,6.37
12.2,16.09,3.92
24.42,40.08,4.1
12.23,12.1,1.86
21,33.32,3.58
24.68,39.64,3.56
24.08,38.48,2.98
15.95,24.9,7.4
12.55,12,3.26
16.74,24.99,1.58
13.63,16.29,4.96
20.65,31.92,1.7
23.02,36.85,6.74
20.21,28.04,3.21
19.22,31.76,4.14
18.49,26.3,4.01
19.01,27.86,5.79
11.27,11.53,1.66
15.02,21.76,2.62
21.04,32.21,12.66
20.42,32.18,3.03
12.99,14.19,2.63
22.36,38.25,23.36
9.39,10.87,3.82
17.48,26.53,7.02
18.23,27.28,3.96
21.98,36.63,1.88
13.95,20.98,12.03
16.05,22.27,3.29
27.27,47.1,4.36
23.39,42.41,7.68
26.92,42.15,2.55
14.85,16.98,4.18
19.72,31.39,2.81
18.43,27.95,2.31
10.98,13.27,3.25
23.73,36.6,4.45
21.94,35.38,11.25
18.68,26.08,1.8
16.87,26.69,3.34
19.16,31.54,4.59
10.99,13.95,3.73
26.16,40.86,3.4
23.11,35.37,4.1
13.89,16.48,3.77
25.27,44.35,3.74
19.14,31.11,23.75
20.15,32.49,3.28
24.17,38.99,2.94
17.63,30.26,5.89
14.83,15.92,2.62
19.08,28.25,1.6
14.38,19.05,1.77
18.23,27.92,5.79
17.16,23.96,2.9
13.77,14.93,1.95
13.18,15.25,2.09
18.75,28.56,3.31
20.05,28.9,7.26
22.42,35.98,4.16
20.06,31.05,1.89
15.94,19.84,2.03
9.4,10.95,13.43
23.04,34.82,1.57
20.11,31.04,12.12
24.98,45.22,2.62
23.82,37.36,5.61
20.99,33.69,2.31
14.03,15.87,1.79
19.48,31.31,3.71
17.35,25.49,3.59
18.26,27.75,10.67
19.39,29.73,1.96
17.87,25.21,3.71
19.65,26.91,2.04
16.02,18.41,2.25
23.88,37.44,8.83
10.79,10.5,2.05
23.82,38.05,3.61
19.05,32.89,1.53
21.57,32.5,3.28
21.07,34.78,6.86
18.68,31.49,2.77
22.02,38.35,1.84
16.51,26.12,1.83
13.87,24.99,3.43
24.42,44.74,5.89
17.09,26.61,2.24
24.24,39.97,5.56
7.79,3.86,2.93
28.05,48.62,9.61
14.68,19.33,4.21
