price,duration,wait_time
12.97,15.31,2.92
22.84,36.97,1.51
13.73,19.86,8.44
17.49,27.94,2.37
15.43,22.9,9.05
19.56,32.49,2.66
15.2,20.95,2.33
14.24,19,5.23
22.43,32.57,5.14
15.87,23.02,2.5
28.79,48.7,2.79
14.03,18.7,3.92
23.44,41.19,3.02
14.62,25.18,1.63
13.55,18.43,2.37
20.93,37.02,9.77
15.83,24.95,3
11.81,11.32,3.5
23.85,41.23,14.68
18.08,26.69,3.79
17.27,23.15,2.72
16.39,23.43,3.13
17.06,25.43,3.22
20.5,29.72,2.04
26.92,48.7,1.62
28.09,47.58,4.29
18.96,28.96,3.77
26.09,46.24,6.98
20.28,32.54,4.38
20.55,31.29,1.63
11.62,14.29,4.62
23.92,44.56,2.67
15.31,17.16,17.45
26.25,46.48,3.1
26.16,41.88,3.72
17.45,30.69,9.06
23.67,39.28,3.04
24.22,43.34,9.33
19.17,30.46,3.48
21.09,33.95,4.64
10.68,12.25,4.1
21.86,33.94,1.74
23.11,40.73,5.19
15.39,22.56,1.71
19.34,31.01,2.61
13.93,14.82,5.14
13.6,18.95,3.44
15.95,22.71,2.89
21.85,32.22,6.48
19.55,29.88,10.47
19.27,30.38,1.66
15.31,17.38,11.17
14.83,23.23,1.94
20.37,32.07,12.39
16.03,22.72,6.51
19.88,29.35,3.29
27.88,50.23,1.81
17.57,21.98,1.71
15.58,22.52,4.06
19.75,29.07,1.91
17.99,26.33,1.56
19.05,28.88,2.04
23.4,37.64,4.63
21.61,32.33,3.3
15.41,22.42,5.18
21.87,34.83,4.86
12.58,16.57,2.91
19.66,34.28,2.56
10.49,15.5,2.06
16.52,22.46,1.83
24.67,40.69,2.06
13.9,20.6,1.94
27.8,49.04,4.74
17.68,30.65,3.43
21.86,38.13,2.5
17.22,25.6,3.69
24.76,40.33,5.04
13.95,17.24,2.52
19.99,31,1.64
17.3,24.41,3.27
26.08,42.65,5.63
22.89,39.99,2.43
11.98,9.81,1.6
20.27,28.92,3.36
22.75,35.46,4.29
16.9,21.15,3.04
21.7,32.96,2.26
13.21,16.18,2.88
20.57,30.38,8.18
20.09,31.33,2.28
14.59,21.02,3.83
15.43,24.78,6.05
29.81,54.5,6.32
16.96,21.95,4.43
31.74,57.2,3.03
16.39,26.83,4.78
16.27,25.86,7.29
26.37,47.41,2.16
20.46,31.26,5.16
20.6,29.7,5.01
