price,duration,wait_time
19.73,28.82,4.05
14.44,17.83,10.07
12.4,13.35,2.36
15.16,22.2,6.23
15.22,20.69,5.01
26.34,39.38,4.99
14.33,17.58,1.96
19.59,29.78,6.29
18.68,29.61,2.37
21.66,34.77,4.66
22.71,38.16,3.87
20.08,35.11,3.01
28.8,49.63,5.06
15.17,21.19,18.32
17.08,27.39,9.05
14.14,18.48,3.47
13.08,16.22,1.51
15.37,24.16,21.77
14.93,19.18,13.24
10.42,11.01,1.52
19.86,30.57,1.97
25.6,45.74,3.09
14.2,22.98,2.85
17.6,24.37,3.47
16.11,18.68,6.45
18.33,26.11,2.75
18.04,26.48,4.36
12.67,18.53,4.36
15.65,19.92,2.16
20.66,34.62,3.89
27.1,47.54,2.19
28.86,49.93,3.06
19.74,28.26,4.08
19.88,28.84,12.72
24.99,41.28,2.64
13.58,14.6,3.07
14.46,18.24,3.63
21.24,33.71,4.15
15.3,21.32,7.28
9.5,7.23,3.41
22.41,35.31,1.93
18.55,30.75,6.1
21.96,34.65,3.95
24.89,43.99,2.17
22.76,34.58,5.68
19.97,28.23,2.1
30.67,55.25,1.59
18.74,27.56,1.95
18.24,27.9,2.28
14.05,19.76,2.32
17.73,27.88,4.16
16.97,22.05,3.39
22.16,40.05,8.07
19.58,27.47,1.74
12.39,16.14,2.95
19.08,25.77,3.28
24.05,38.78,5.33
18.3,26.54,4.39
22.57,36.78,2.53
23.99,38.59,3.71
20.99,30.21,2.72
16.42,26.64,2.37
15.73,20.4,2.2
22.35,36.37,4.68
24.79,43.83,3.2
27.72,46.02,1.74
19.25,31.06,2.22
16.67,25.68,4.54
15.85,23.66,5.55
19.83,34.12,3.98
20.38,35.07,3.84
25.47,46.56,2.89
20.51,30,3.72
14.95,20.41,3.19
21.36,33.66,3.32
22.25,33.08,4.07
21.74,34.04,4.44
20.73,34.53,3.53
27.2,47.98,2.92
17.78,23.61,9.39
20.48,28.76,9.8
23.98,43.67,10.9
21.93,34.69,4.16
25.73,40.8,3.79
23.1,39.67,3.4
18.52,30.12,3.09
15.74,20.3,5.97
19.5,29.46,2.71
15.11,25.52,5.26
18.58,29.43,7.85
11.61,11.18,7.42
23.22,39.15,2.38
14.11,18.9,3.74
24.37,39.18,6.19
21.61,32.59,3.53
15.55,21.9,6.05
20.24,33.01,2.45
14.52,22.64,4.18
17.82,24.63,5.25
25.26,42.1,5.77
