price,duration,wait_time
22.1,33.57,5.07
18.57,29.88,8.51
15.42,20.03,11.18
19.89,32.7,2.03
20.48,30.42,2.45
14.65,17.73,4.93
12.41,14.35,1.78
20.29,30.58,2.47
20.34,32.57,1.82
18.48,29.25,4.71
22.24,33.12,2
22.32,36.67,3.82
16.36,19.79,4.54
11.82,13.19,7.61
18.99,30.74,12.22
17.58,25.75,3.96
27.58,46.67,2.31
17.8,25.67,4.71
20.74,32.39,8.58
21.89,31.24,2.04
20.08,31.26,5.99
24.46,40.99,2.45
24.32,39.98,6.17
23.27,36.96,3.6
15.29,20.49,2.97
19.71,30.34,5.57
21.53,31.98,3.27
17.97,21.99,7.07
19.92,30.83,3.85
19.35,28.12,7.71
18.17,29.94,2.21
21.42,36.76,1.9
16.2,22.22,2.05
20.79,30.33,5.17
14.9,22.32,4.81
7.64,8.03,1.75
14.9,18.86,2.12
22.75,33.44,2.21
17.68,25.32,14.43
19.41,33.91,7.02
26.92,45.78,3.42
16.16,23.38,9.55
28.07,49.71,3.32
18.91,28.9,1.59
21.23,33.57,1.53
10.89,7.82,1.96
22.86,36.97,6.99
17.44,28.16,9.05
24.35,38.86,2.21
10.67,10.74,1.67
16.89,22.98,6.72
11.49,15.87,5.69
21.67,35.79,2.46
22.49,39.38,4.01
16.96,20.49,4.83
31.87,59.52,3.75
23.5,39.46,5.97
24.82,35.33,1.68
21.54,35.32,3.94
22.17,36.25,7.96
20.29,32.15,2.13
17.71,25.71,6.52
13.5,18.87,6.84
14.18,16.35,2.18
15.15,17.01,1.68
20.16,34.87,3.54
6.41,3.45,1.93
17.95,27.98,1.76
16.37,26.81,2.87
23.93,42.64,1.74
24.07,41.17,13.27
11.46,12.45,2.13
21.67,35.68,3.33
20.7,30.35,2.96
20.71,30.88,2.48
11.93,12.22,2.42
22.22,33.44,8.99
20.88,34.93,6.83
23.6,40.78,1.55
26.61,49.02,3.72
21.58,32.47,3.27
8.23,7.6,3.83
19.43,29.66,13.21
26.85,42.99,4.12
21.22,36.48,2.99
23.59,37.39,5.2
14.88,21.15,1.61
18.31,29.64,9.01
21.37,36.24,5.76
22.27,38.35,7.51
18.43,25.01,1.82
25.45,46.41,5.16
13.13,18.24,4.73
20.33,32.11,4.54
15.63,22.53,7.62
19.97,30.36,6.62
22.37,36.31,6.01
31,54.75,2.77
14.32,19.93,2.98
23.31,41.11,8.89
