price,duration,wait_time
12.51,14.99,10.18
19.24,30.27,1.93
20.58,30.3,1.67
13.49,14.66,2.02
23.36,37.09,2.07
16.56,27.52,3.06
16.79,26.57,4.99
19.45,29.64,8.68
22.22,39.47,4.5
20.68,35.12,1.89
27.94,45.78,6.08
19.81,31.45,4.03
17.77,28.94,2.19
22.24,36.51,2.74
9.73,12.59,2.15
24.05,39.53,9.09
23.81,38.14,9.51
12.72,15.46,5.14
19.28,30.62,3.46
16.32,24.75,3.51
19.26,28.27,9.77
13.61,17.89,5.6
18.86,31.27,2.72
19.4,27.55,7.22
18.5,29.8,2
27.32,48.95,6.54
20.15,28.71,7.05
26.13,44.32,9.78
17.67,27.19,1.89
19.77,29.48,2.3
17.03,26.46,6.05
16.1,21.83,9.75
23.19,36.64,1.83
16.63,27.24,8.82
23.49,38.23,3.62
17.84,25.5,1.71
12.7,16.22,3.86
11.73,14.12,5.7
17.84,26.69,3.5
24.25,41.12,6.07
17.03,24.75,7.71
7.48,10.14,6.1
15.75,21.75,2.68
23.93,42.57,2.14
16.12,20.04,6.5
21.07,32.45,2.49
25.1,43.45,10.28
22.52,34.44,1.61
15.56,25.79,1.73
27.72,44.3,3.76
12.03,11.03,2.77
18.09,26.05,2.97
14.93,22.25,5.87
14.58,19.17,10.68
26.67,45.72,3.03
12.62,17.13,4.61
15.29,21.43,3.28
18.88,28.39,1.71
25.6,45.74,3.09
15.58,20.98,4.12
19.7,33.27,1.97
24.23,41.47,2.21
14.34,19.64,7.66
23.32,36.14,1.74
18.13,29.86,4.71
18.84,32.98,2.81
10.73,11.5,1.84
22.73,31.59,2.46
21.91,29.93,7.24
17.43,26.04,5.92
16.43,18.84,4.41
20.32,28.98,2.31
15.67,19.74,1.94
16.09,27.33,6.17
13.33,15.27,10.32
13.12,12.7,3.38
25.31,43.46,3.16
17.16,23.83,5.43
17.06,26.99,3.02
15.45,22.62,4.18
16.41,23.51,4.52
17.27,23.48,3.53
14.01,14.38,1.63
10.48,10.47,17.95
13.16,18.18,14.09
21.43,30.19,8.93
25.48,41.9,8.03
19.19,26.6,1.71
15.05,21.87,6.46
16.72,25.78,1.78
19.87,33.28,11.97
21.46,35.75,2.97
21.48,33.1,6.03
22.22,33.04,7.16
22.71,35.24,2.12
20.21,30.93,2.38
17.88,24.28,1.96
23.28,43.23,8.4
14.87,18.26,3.41
9.9,5.3,3.1
