price,duration,wait_time
32.26,58.2,4.88
13.52,16.65,3.73
18.82,28.14,1.63
20.25,33.03,2
11.7,12.92,4.8
23.19,38.41,8.65
18.73,28.82,6.38
19.8,29.46,8.21
23.13,35.92,1.94
13.09,16.3,8.53
8.26,7.48,2.33
13.91,17.93,10.05
17.97,21.84,2.49
16.38,25.22,3.16
14.07,16.59,4.97
26.52,45.45,1.84
10.76,11.7,5.53
15.2,20.8,4.55
20.99,35.28,3.95
15.25,23.66,4.82
16.42,24.95,5.57
16.06,24.68,3.15
14.94,19.06,2.55
19.31,28,1.57
20.37,31.4,1.62
17.96,25.13,1.94
20.36,28.47,7.57
16.71,25.11,3.89
21.12,32.88,6.08
12.87,14.84,2.11
19.74,31.12,1.66
17.31,26.2,8.33
25.17,41.62,3.86
21.41,34.37,2.7
21.41,37.29,4.84
28.92,52.53,2.53
12.17,16.64,10.22
24.1,41.86,4.47
20.19,30.6,2.2
15.49,18.94,1.71
25.52,40.94,3.74
21.43,33.72,5.82
20.47,29.48,3.65
25.15,41.76,3.01
17.92,27.14,1.99
25.93,38.02,1.85
19.29,28.27,2.22
19.83,33.62,4.98
16.86,25.48,3.89
28.16,50.49,2.99
16.13,26.51,7.45
18.83,29,3.32
21.37,26.69,2.89
28.52,48.89,2.7
14.75,21.24,3.43
27.93,48.67,2.72
9.04,9.63,1.79
19.56,27.76,2.59
17.94,30.85,4.8
17.84,29.99,4.53
20.98,32.64,3.22
19.75,33.63,3.35
29.1,49.47,3.72
21.79,33.85,8.82
15,21.72,3.25
19.98,29.98,8.22
20.05,29.83,2.21
23.43,38.35,9.85
24.49,43.55,3.18
19.15,26.98,2.3
18.42,31.57,2.54
16.9,24.27,5.57
21.02,33.04,1.78
17.37,27.29,3.49
24.81,43.13,1.6
22.1,36.47,3.17
15.14,20.14,1.84
23.88,36.94,7.68
33.04,59.67,1.95
10.34,11.68,2.59
20.06,31.18,3.94
22.42,39.13,4.48
18.98,28.23,4.49
22.3,40.33,4.18
19.9,29.55,3.97
14.82,20.37,15.66
13.58,17.35,2.39
17.37,25.67,1.85
21.01,28.33,1.65
19.5,29.79,3.05
9.55,8.97,4.85
13.05,16.84,2.88
20.59,34.36,4.81
15.78,25.62,3.32
17.04,26.47,2.72
24.59,43.63,10.29
14.74,20.11,4.35
21.48,40.82,1.88
19.43,31.12,6.28
13.87,15.22,3.47
