price,duration,wait_time
25.31,43.13,6.67
16.1,25.2,5.04
28.02,47.02,9.3
18.19,26.06,2.3
17.46,27.02,8.49
28.85,51.31,1.89
14.08,15.66,3.11
20.21,34.07,11.72
27.43,45.62,4.74
13.35,16.33,6.72
18.69,26.91,7.35
20.52,32.25,1.62
27.64,47.83,1.98
19.04,32.52,3.19
23.24,39.68,5.33
22.62,35.13,10.09
17.32,25.5,13.79
16.43,21.62,5.71
20.09,31.27,8.47
22.96,33.71,1.53
18.5,30.65,5.61
20.01,36.1,1.98
29.27,50.79,2.93
16.99,25.55,6.29
20.44,32.64,4.01
12.83,16.07,5.2
21.46,35.43,8.45
16.7,21.92,3.06
23.07,38.06,4.44
21.49,33.66,1.8
32.83,60.08,6.17
18.2,27.04,4.33
18.88,27.48,8.41
21.39,36.78,7.23
26.37,44.27,12.88
16.39,26.17,2.87
25.19,40.62,1.77
16.72,24.27,5.43
22.96,35.91,11.47
19.81,31.98,1.92
19.12,30.86,3.24
18.87,29.08,1.83
13.3,16.1,2.02
17.97,25.78,6.76
15.4,19.95,1.66
26.12,41.87,3.4
32.55,56.68,2.73
21.35,34.06,6.27
30.91,48.93,15.19
23.92,33.2,5.35
10.26,13.15,14.95
19.49,31.35,3.23
17.85,26.74,10.26
23.44,39.97,2.34
19.21,29.99,5.67
23.19,35.63,5.13
16.58,24.14,3.26
18.63,27.69,3.35
17.51,30.66,2.87
21.58,32.94,2.91
14.02,13.99,1.54
21.69,32.48,3.6
20.85,35.53,2.49
17.35,23.46,1.87
16.98,23.61,3.33
30.6,52.75,1.7
17.29,24.09,13.64
13.61,13.45,5.38
23.23,36.83,1.82
16.53,22.79,5.97
15.46,19.06,1.54
21.62,37.09,4.68
19.81,33.66,1.51
15.55,21.72,2.17
27.06,46.18,1.59
16.54,23.65,5.34
15.35,24.61,1.68
17.08,29.38,1.88
14.58,20.31,5.53
19.56,29.05,10.38
20.39,32.02,1.74
16.69,25.97,3.35
26.92,45.3,1.61
19.95,26.49,6.38
14.53,15.39,4.04
21.73,33.62,4.97
18.5,23.02,9.08
25.26,38.58,4.5
24.33,38.52,4.45
12.99,17.53,3.75
13.71,14.85,2.74
23.21,37.97,6.78
28.76,53.75,4.72
18.84,25.53,4.8
12.55,16.26,3.42
15.04,20.27,2.91
19.09,29.07,4.51
20.69,32.36,1.76
15.23,16.61,2.19
18.25,22.8,3.59
