price,duration,wait_time
24.16,38.21,1.73
12.29,13.49,1.61
11.86,9.68,2.68
17.1,27.56,2.97
21.9,37.26,7.58
21.21,32.29,11.28
17.54,29.16,1.52
15.43,21.21,2.8
17.87,27.96,3.52
24.02,41.31,1.59
29.32,50.2,2.78
19.4,31.6,8.05
20.83,32.15,4.33
7.23,3.49,2.37
17.42,26.19,7.95
15.37,16.5,2.92
25.24,43.82,6.31
22.29,30.46,5.49
10.83,12.55,2.41
16.31,24.26,1.93
25.59,39.05,1.67
24.04,40.59,4.83
13.44,19.8,2.49
11.72,11.1,4.5
26.57,44.11,1.73
14.92,21.38,3.38
22.16,35.89,9.12
20.56,31.69,2.79
19.42,29.16,1.51
13.86,20.92,2.22
21.08,31.84,2.06
24.72,40.03,2.54
20.54,32.98,4.03
24.08,41.63,2.02
20.98,36.68,2
23.16,39.51,5.54
24.97,43.91,2.61
13.41,12.53,2.48
15.24,21.35,6.49
19.3,28.69,10.27
13.15,16.98,7.93
26.54,43.93,8.11
26.6,45.05,1.93
23.87,44.36,11.4
13.36,15.63,3
17.58,28.05,6.2
21.33,32.23,1.95
11.89,14.16,1.61
22.18,33.85,5.35
19.11,29.41,5.65
14.18,14.21,4.96
12.8,16.2,7.52
13.36,20.55,13.44
20.23,34.19,1.79
22.8,38.84,1.7
19.83,30.42,2.44
17.89,28.53,2.72
20.05,34.59,4.03
18.4,30.52,1.85
13.06,16.81,11.59
17.51,25.53,5.06
16.95,26.69,4.72
20.35,31.34,5.92
17.35,25.24,14.33
24.03,42.89,4.98
15.73,20.4,2.2
13.4,17.33,2.18
16.15,25.19,2.31
19.29,28.63,4.33
12.92,14.81,4.1
13.16,18.79,6.83
18.84,27.06,3.5
19.79,31.77,4.63
25.49,42.95,3.29
24.82,42.92,2.72
14.11,19.61,1.75
14.32,17.38,8.52
14.6,20.92,3.32
24.97,43.32,8.29
27,45.57,3.28
16.08,20.08,1.54
12.52,14.37,4.44
22.72,32.99,5.03
19.71,33.15,11.24
22.95,35.86,1.81
19.18,30.64,1.56
21.55,30.5,1.53
19.45,34.23,2.52
25.42,41.92,5.72
24.25,42.07,3.2
23.86,42.28,2.89
20.93,32.85,8.12
29.79,53.14,3.14
24.33,40.73,5.74
18.4,28.21,2.35
23.79,40.39,1.57
15.08,21.73,2.81
22.91,38.6,3.35
22.23,36.3,5.85
13.33,17.25,2.37
