price,duration,wait_time
18.59,31.19,2.04
22.11,39.46,5.54
16.32,24.36,2.32
21.8,34.64,3.17
23.98,38.54,3.71
13.64,20.08,2.39
20.45,32.97,7.13
28.87,49.16,4.82
20.58,36.72,3.93
26.62,46.5,2.51
16.57,19.62,2.59
20.02,29.61,4.41
20.44,31.97,4.09
24.22,40.01,3.66
15.91,21.54,3.65
30.34,54.04,7.29
21.52,32.49,3.74
24.31,41.23,2.48
17.37,27.95,12.37
25.17,41.96,3.8
25.79,44.11,2.69
28.32,52.09,3.22
24.8,40.88,5.57
10.12,12.43,3.05
19.25,27.18,2.92
29.13,55.32,2.4
16.78,21.58,4.63
34.68,61.72,6.89
23.02,39.94,3.37
17.45,22.6,5.44
23.95,38.26,6.87
19.7,31.75,5.83
23.64,36.16,6.52
19.45,28.44,6.86
19.75,32.67,3.29
20.01,27.36,1.57
19.17,31.17,3.63
16.66,24.39,7.63
26.86,45.64,2.75
19.81,32.23,2.45
19.76,34.29,4.36
22.83,37.82,2.22
13.29,13.04,1.62
25.33,46.08,8.08
12.35,16.53,2.15
18.32,31.83,5.09
25.47,42.66,2.41
17.72,21.73,2.04
30.2,51.87,4.57
25.33,42.42,2.63
21.81,37.01,1.77
23.54,37.78,13.43
15.23,22.34,2.25
16.33,22.89,2.81
14.87,18.59,9.22
18.04,26.84,2.32
26.52,42.21,4.1
20.16,33.04,2.47
23.33,36.06,5.22
11.97,15.44,1.78
23.23,42.95,4.45
15.89,18.57,2.19
27.11,48.86,3.28
17.15,24.74,6.98
24.07,41.44,1.55
12.77,17.36,4.27
21.04,31.95,3.83
22.74,35.64,2.36
11.85,13.94,2.18
22.44,35.89,3.97
13.67,16.98,2.27
16.3,21.8,1.9
19.81,26.62,6.58
23.56,36.69,4.17
23.49,38.56,8.87
27.33,47.77,1.58
16.65,26.55,2.46
20.2,31.36,2.68
17.1,26.21,4.52
16.47,19.45,3.47
27.28,44.49,1.53
14.19,18.94,3.48
20.73,29.63,4.44
21.21,31.39,3.09
20.98,32.14,2.89
14.74,17.87,1.92
18.78,28.42,4.12
17.31,23.06,6.36
23.31,39.1,2.39
15.73,20.42,3.49
15.98,20.94,11.49
23.98,41.32,2.84
17.6,23.65,8.16
19.06,28.31,2.59
32.1,58.58,3.68
19.84,28.95,3.16
25.64,43.93,1.96
18.26,27.06,1.87
22.43,39.29,3.07
22.93,35.97,6.14
