price,duration,wait_time
8.56,6.33,4.6
19.73,33.13,5.94
17.76,27.02,2.43
18.19,26.93,2.91
25,42.46,3.26
15.28,23.08,6.26
19.39,30.18,2.13
16.15,25.61,5.97
17.29,30.53,4.05
21.97,30.19,16.24
15.86,22.09,1.54
22.64,34.48,2.9
17.05,20.63,2.34
22.96,39.44,3.88
15.15,23.53,2.89
16.55,21.07,5.09
20.53,33.4,1.59
23.07,33.98,4.51
31.73,52.35,2.47
10.7,7.23,1.72
22.17,33.95,4.73
22.62,38.25,2.03
16.33,19.39,4.04
26.89,42.42,2.52
21.76,36.29,2.17
19.79,27.34,1.51
20.48,33.51,1.7
15.62,26.26,9
20.27,30.64,2.64
17.8,26.75,3.56
19.19,27.82,3.44
13.81,18.02,2.8
17.31,26.2,8.33
19.41,25.88,5.33
20.11,26.88,3.79
18.92,27.9,5.52
20.05,29.78,2.2
21.38,30.18,1.92
22.26,35.81,9.79
20.34,31.67,6.24
15.13,17.94,1.55
23.53,34.65,5.64
23.34,37.93,3.84
32.75,55.68,3.41
18.72,29.04,2.3
14.7,20.37,10.7
16.11,21.37,3.06
16.71,21.07,4.71
14.91,21.64,2.33
16.67,26.43,1.59
17,23.98,7.66
20.21,28.04,3.21
16.29,23.31,2.61
22,33.95,5.07
26.03,44.38,3.64
14.29,14.34,5.37
17.46,24.68,5.47
19.8,26.13,3.99
19.47,29.85,4.21
19.92,29,2.15
10.58,13.64,5.03
14.48,18.23,1.76
25.86,44.85,4.02
18.01,26.4,7.42
22.39,32.85,2.64
13.35,18.85,3.44
23.6,39.09,1.95
19.43,29.65,4.92
21.43,33.33,3.37
11.34,15.07,20.76
22.09,36,6.8
24.08,38.48,2.98
21.39,33.7,5.06
16.32,23.91,2.31
18.84,29.75,3.24
14.84,16.81,6.47
25.62,44.82,13.7
25.3,45.56,2.48
27.3,48.64,2.29
23.92,39.78,4.11
26.27,44.22,3.72
18.42,31.57,2.54
18.15,26.02,9.79
26.79,47.16,3.61
9.72,10.85,3.93
17.83,31.47,2.3
21.07,38.03,2.29
12.06,14.56,4.05
18.02,25.89,8.41
14.42,19.64,2.18
17.62,25.52,8.39
19.81,29.26,6.06
23.18,35.88,6.04
20.23,32.39,2.9
21.24,33.87,3.35
15.63,19.68,3.42
24.03,37.92,3.04
20.62,30.65,2.44
17.96,29.18,1.5
22.16,34.55,4.35
