price,duration,wait_time
21.06,34.6,10.86
21.05,33.04,5.63
24.82,37.97,3.03
20.57,37.7,7.75
15.56,21.72,7.63
22.69,36.93,1.51
24.95,42.71,3.86
23.77,35.47,1.86
20.98,30.54,2.76
29.09,54.32,2.97
23.21,36.19,4.47
19.21,29,2.28
20.95,30.44,14.47
24.63,38.88,4.82
25.11,40.12,5.44
20.78,34.54,1.72
18.9,33.18,3.57
20.34,34.08,9.7
31.27,58.69,1.89
20.54,35.68,4.28
19.47,30.96,8.08
16.27,22.16,4.69
24.31,38.85,6.47
28.02,54.13,2.13
21.39,32.05,8.73
17.91,29.87,7.39
17.91,28.09,6.2
24.83,43.74,13.4
21.13,31.82,2.66
24.91,45.47,3.27
14.12,15.92,4.01
21.16,30.78,5.52
19.99,33.33,1.55
14.38,12.6,2
19.2,29.75,3.99
17.77,26.59,2.92
32.59,57.4,1.98
22.27,37.8,2.13
27.57,44.68,3.38
12.96,18.45,10.57
15.35,21.82,6.57
25.56,43.71,5.66
28.91,49.86,9.46
13.67,15.56,2.98
20.51,32.77,5.07
13.04,15.07,5.11
15.73,16.19,8.57
19.89,34.3,2.18
26.19,44.11,8.84
12.87,18.42,4.06
13.77,21.02,4.3
25.4,44.82,6.17
17.99,30.15,1.51
20.39,33.04,2.3
30.57,54.03,3.89
27.07,50.04,2.53
25.31,39.41,1.73
23.35,38.48,2.13
8.87,10.08,3.4
23.97,38.31,8.4
14.38,21.31,2.04
25.54,42.49,2.29
20.23,32.1,2.49
13.34,18.48,3.2
13.84,16.66,5.4
13.78,18.8,10.71
14.95,21.93,4.06
14.02,18.79,5.29
26.69,44.24,2.54
23.85,38.46,1.73
10.07,10.27,5.29
19.3,29.99,6.17
25.35,40.16,5.44
27.82,47.92,3.62
28.6,51.88,3.04
15.2,19.7,2.37
11.93,14.02,2.39
10.32,9.78,10.78
25.12,43.67,6.78
20.89,32.26,5.77
18.84,27.86,3.5
25.7,42.79,7.54
22.2,37.23,17.77
19.98,33.8,2.86
17.27,23.38,2.89
22.03,34.18,4.2
10.21,12.29,4.51
13.66,17.39,7.26
24.77,40.75,6.44
23.63,42.99,8.8
21.65,33.8,9.47
17.08,26.08,3.22
24.11,37.87,1.76
18.79,29.46,9.55
10.25,10.82,6.02
26.31,47.66,11.36
23.15,36.57,4.79
19.75,27.98,1.63
16.69,22.55,2.03
20.14,27.13,4.97
