price,duration,wait_time
10.8,12.14,3.2
20.75,32.24,4.3
25.09,44.62,6.15
11.7,15.39,5.45
17.77,25.58,4.22
20.3,31.07,5.03
19.04,30.79,2.41
22.94,36.6,1.88
19.59,29.73,5.04
10.34,9.96,4.03
23.05,34.48,3.83
19.5,29.56,4.65
19.62,31.42,2.77
23.8,37.03,1.68
20.16,33.31,2.35
22.2,38.13,3.97
20.32,28.95,4.9
23.17,39.18,2.22
12.24,16.73,9.44
22.27,37.43,2.37
19.5,29.79,10.04
19.54,28.46,3.04
17.73,25.45,3.97
12.46,10.53,1.94
24.15,38.98,3.67
17.24,24.78,1.53
16,25.51,3.18
21.36,33.06,6.79
19.72,31.58,2.59
21.91,35.16,8.67
19.46,28.46,4.05
13.5,18.4,2.2
17.38,24.63,11.41
11.15,10.02,4.07
20.39,32.89,7.38
16.99,28.47,4.44
16.09,22.31,5.03
18.63,28.22,2.92
23.65,42.14,2.17
20.01,27.49,8.85
19.04,30.05,2.28
16.34,24.36,1.75
13.36,15.93,2.76
25.17,43.52,3.14
17.43,28.65,1.9
24.84,38.12,2
14.73,18.33,4.07
24.52,41.28,4.62
10.22,8.05,6.24
18.22,29.2,7.87
11.62,10.83,4.97
23.16,36.96,6.94
30.87,54.84,4.41
12.68,18.91,8.91
13.49,18,2.04
10.05,12.85,2.16
14.82,21.14,2.29
11.62,12.44,3.48
24.55,38.59,1.84
14,23.33,3.75
21.62,37.04,1.91
18.14,30.58,2.42
24.21,39.11,1.85
18.23,28.28,3.27
24.39,41.25,1.65
18.09,27.16,3.01
17.44,23.05,2.86
19.27,30.72,3.37
20.79,32.75,6.37
23.77,35.63,8.31
17.53,22.67,6.89
22.97,34.49,5.82
22.77,36.87,1.7
15.5,22.74,2.36
21.82,32.38,1.56
17.67,26.42,3.65
24.69,41.91,3.27
25.21,40.71,5
15.42,21.21,2.46
19.59,27.09,2.12
16,23.81,2.29
25.77,48.61,4.04
8.66,4.97,2.02
28.51,49.25,3.72
20.49,34.63,2.45
18.51,27.69,3.94
19.87,31.9,3.03
18.84,26.76,8.84
14.52,18.5,3.7
16.38,23.01,2.32
26.63,44.98,2.55
22.36,35.14,5.75
12.41,11.72,2.03
18.79,29.41,4.35
16.09,20.36,2.71
15.62,23.95,6.11
19.16,32.13,2.96
18.65,25.93,3.74
20.06,33.21,5.69
21.68,35.68,5.86
