price,duration,wait_time
14.15,15.4,2.14
9.7,13.31,11.36
21.22,32.1,3.41
16.3,21.08,4
20.26,34.67,3.24
25.95,43.13,2.59
22.72,31.95,5.18
15.53,25.73,11.32
12.04,13.66,6.63
17.55,29.55,5.66
9.9,15.16,1.77
16.3,26.18,2.39
18.13,27.11,1.75
17.57,24.13,1.59
24.88,41.26,2.81
21.06,31.67,2.71
19.23,28.86,3.44
38.98,74.32,4.32
12.81,13.71,3.64
9.19,8.13,2.92
13.15,20.34,11.05
23.37,37.88,2.75
18.22,25.61,1.76
25.62,44.06,3.53
22.78,35.39,2.43
20.33,37.93,3.59
27.02,47.91,2.18
16.29,23.9,2.83
21.84,36.51,3.98
18.6,27.73,2.75
18.56,26.61,4.8
13,16.3,5.91
22.52,37.4,1.91
12.82,15.08,2.72
19.95,29.15,2.37
21.01,33.92,5.32
22.97,36.65,3.57
16.34,21.63,3.35
18.96,29.52,7.6
18.17,24.88,4.77
26.32,41.63,6.15
16.96,24.23,13.26
26.84,43.6,1.98
24.45,42.2,4.93
22.17,35.03,4.06
21.86,36.27,4.2
24.43,43.11,3.55
21.08,28.71,1.82
27.1,43.82,3.05
24.49,41.29,4.35
18.98,24.71,2.32
15.32,20.78,8.71
20.49,32.58,9.08
28.39,47.94,5.47
22.84,41.04,5.13
15.21,22.2,2.93
20.98,30.78,5.91
23.38,38.71,6.12
16.2,21.36,8.28
23.51,38.58,6.52
14.1,21.63,2.2
26.29,43.87,1.65
16.59,19.75,3.54
16.64,26.7,4.05
21.09,30.96,2.08
20.56,33.34,2.78
23.23,35.86,6.86
14.62,22.8,5.31
19.66,26.88,1.72
15.43,20.75,2.29
18.84,30.14,4.28
25.58,48.38,4.29
21.39,30.88,4.24
24.11,42.31,2.11
27.39,43.47,1.97
27.27,43.42,3.01
15.43,19.62,6.69
22.25,36.38,3.68
18.41,28.52,1.63
23.04,35.19,3.87
23.45,37.55,2.21
15.75,26.32,7.88
23.56,39.4,2.35
19.21,28.62,5.12
26.46,49.99,2.42
17.68,24.56,3.72
15.55,21.9,6.05
16.09,20.02,1.62
17.35,22.74,4.9
9.96,10.33,1.9
24.21,39.56,4.06
25.27,44.84,1.76
26.8,44.44,5.68
27.51,48.66,4.39
21.99,35.73,3.92
12.13,10.64,1.62
14.66,19.73,2.97
12.88,13.56,2.1
17.73,27.37,1.74
27.79,43.21,4.6
