price,duration,wait_time
14.35,16.58,6.84
20.32,32.45,5.71
18.77,26.38,4.89
26.44,43.1,6.76
26.21,44.78,9.23
17.2,23.91,5.2
14.98,20.2,2.38
20.61,33.69,9.2
16.31,22.61,2.86
19.16,31.88,4.46
23.42,39.2,5.61
18.27,32.08,1.51
13.41,16.24,4.33
14.12,20.69,3.57
20.84,29.97,2.07
17.79,25.49,4.5
20.76,35.49,1.87
17.62,25.83,3.86
21.1,31.32,2.14
16.5,25.18,5.76
22.33,36.37,1.53
23.07,37.76,9.86
19.36,31,9.33
22.24,39.12,2.39
16.85,24.84,15.72
20.36,34.6,2.36
29.8,49.54,5.58
15.54,25.21,5.46
30.55,52.59,6.63
23.18,41.98,4.97
18.26,28.43,3.69
20.95,30.44,14.47
16.38,22.61,3.41
17.47,28.69,1.88
18.71,29.29,2.13
27.61,48.76,4.41
25.78,41.25,1.89
11.13,13.64,3.45
15.68,21.03,2.82
14.9,18.86,2.12
9.78,9.12,7.39
19.75,29.89,10.33
24.03,38.91,2.34
13.11,14.13,3.46
19.38,27.75,3.12
12.68,18.91,8.91
16.35,24.56,1.79
15.62,26.26,9
21.39,33.95,1.69
21.95,35.85,5.05
22.65,37.29,4.05
15.68,17.72,2.11
24.58,41.29,1.51
14.55,16.45,3.32
14.94,21.89,4.12
23.06,35.65,3.31
14.63,22.87,14.79
15.58,20.13,2.69
26.02,44.83,4.25
25.88,41.7,4.64
22.25,36.35,2.23
18.1,25.21,1.89
17.51,22.66,5.85
20.63,32.07,11.35
17.78,24.16,1.53
12.15,13.33,4.16
18.24,23.56,4.86
32.09,55.7,2.3
10.21,12.29,4.51
21.15,30.99,1.77
13.19,15.53,16.78
24.08,38.01,3.42
23.11,37.33,2.08
12.78,19.88,1.62
26.51,45.72,3.22
20.6,32.77,2.57
17.91,23.75,2.6
19.58,27.34,12.25
22.78,41.81,1.73
24.21,41.36,1.75
14.62,20.23,3.14
24.52,39.66,7.05
17.36,24.89,2.28
27.18,48.75,2.01
16.8,26.33,12.26
23.06,36.96,3.3
14.28,17.82,1.69
20.12,32.24,2.23
13.02,13.38,4.13
17.7,27.16,7.75
16.46,22.23,4.31
18.74,30.43,2.86
21.89,35.47,7.41
22.48,34.12,2.05
21.28,35.61,1.6
17.79,27.37,1.61
21.59,33.08,4.37
19.8,35.51,1.69
23.03,34.49,2.35
20.97,31.52,1.55
