price,duration,wait_time
26.03,40.01,7.65
23.03,37.47,1.6
18.07,27.08,1.63
19.56,31.27,6.47
31.64,54.45,4.47
22.45,34.86,2.76
15.37,20.84,6.82
19.93,35.04,3.68
24.15,41.91,3.35
16.06,20.17,1.64
10.41,9.06,2.01
17.48,23.9,3.98
18.33,27.68,8.38
24.81,41.17,2.06
17.44,22.38,5.03
26.4,45.31,2.76
13.71,14.98,2.44
20.02,30.03,3.54
19.87,29.27,2.61
20.42,28.86,10.35
24.8,43.08,5.37
23.65,35.72,3.73
23.73,38.37,7.85
14.99,23.77,6.18
16.35,20.16,1.53
16.42,20.75,5.43
12.62,15.5,6.61
13.91,20.39,2.94
24.75,41.74,3.4
19.74,29.52,2.76
19.38,32.51,9.89
22.06,30.47,4.19
15.59,23.55,5.15
20.5,34.59,3.18
7.17,5.34,3.06
12.42,14.42,3.31
15.79,24.36,1.71
16.12,21.45,4.56
17.52,26.46,2.76
20.63,32.4,1.93
20.02,29.15,3.53
17.1,26.86,10.84
27.78,42.76,2.7
23.49,33.89,1.57
23.63,38.02,7.1
14.83,20.95,2.11
13.99,16.7,5.64
21.48,36.19,10.26
24.08,36.24,3.48
20.67,34.56,6.37
22.54,42.54,1.89
18.33,26.11,2.75
17.4,23.7,1.72
11.22,12.4,1.73
19.56,32.02,3.98
16.69,21.46,2.14
17.17,27.21,3.06
11.97,15.26,3.72
21.04,32.79,5.51
16.32,23.36,1.85
18.5,30.06,3.24
20.42,27.8,5.31
15.84,22.63,1.6
18.82,30.02,3.93
18.77,30.33,8.57
25.21,39.66,3.4
24.69,40.3,4.4
16.51,24.31,3.36
20.99,33.27,2.81
11.85,15.47,5.97
16.68,22.04,4.68
24.26,36.42,8.87
15.12,23.05,2.26
16.26,23.49,4.33
22.82,38.69,1.69
18.47,29.11,2.49
24.45,39.97,1.67
16.54,21.03,2.05
22.57,35.68,1.88
17.92,24.82,4.51
15.96,22.45,2.06
19,29.77,8.75
17.25,22.32,1.69
21.08,36.82,3.56
14.99,20.96,2.82
21.61,34.12,10.12
24.89,39.95,6.42
24.74,42.31,7.23
20.82,33.71,9.24
19.13,30.31,2.13
17.36,23.28,4.4
9.4,10.95,13.43
24.92,39,2.29
25.44,40.93,2.1
7.44,4.59,3
19.24,31.64,2.14
29.08,49.54,1.52
20.51,34.53,1.52
9.74,11.15,1.6
22.59,36.77,2.4
