price,duration,wait_time
19.05,24.14,1.55
19.7,29.26,4.02
19,28.27,5.24
20.99,32.92,1.71
22.13,36.93,8.45
22.44,34.25,2.22
25.92,43.87,6.24
21.29,31.86,5.38
18.78,31.93,4.24
28.06,48.12,2.75
17.39,25.97,2.33
23.86,41.79,1.98
17.68,21.47,4.45
20.97,32.11,1.9
24.71,42.23,4.51
14.76,22.6,2.62
29.43,51.33,2.49
24.21,40.93,14.98
16.53,23.52,3.25
19.87,30.94,1.68
26.05,42.8,5.51
15.25,22.78,7.96
15.99,22.27,12.08
20.9,30.95,1.76
22.57,38.07,4.28
24.04,39.03,1.97
12.24,15.45,2.64
18.38,23.7,2.54
12.9,16.12,2.07
30.54,50.99,4.06
16.77,26.14,1.95
17.34,26.99,4.67
17.22,28.6,3.63
21.63,31.26,2.2
22.89,36.95,3.04
15.33,18.42,1.72
21.38,34.15,4.02
20.38,33.84,2.13
20.24,34.4,4.74
15.3,20.22,2.65
27.46,46.33,2.38
24.85,39.66,5.81
20.85,33.18,4.57
17.45,23.76,4.52
22.43,35.85,4.72
18.58,26.32,3.55
16.26,23.61,4.87
22.17,34.43,2.49
16.5,20.1,2.78
18.66,27.4,5.51
26.06,41.64,2.78
19.22,26.14,3.11
21.07,35.49,13.5
22.34,32.85,6.2
27.14,44.49,1.95
21,32.04,3.05
18.02,31.01,4.92
13.47,14.83,3.49
16.01,25.34,1.81
21.63,33.6,3.06
27.79,49.19,1.62
19.28,27.37,2.09
17.26,21.24,9.83
18.65,30.67,8.05
24.28,40.61,1.61
16.12,23.2,4.36
19.33,28.41,2.92
17.84,25.27,6.22
26.87,49.09,2.05
22.28,37.92,4.34
9.58,8.64,4.34
10.67,13.3,1.7
26.51,41.48,4.2
25.74,41.76,6.73
16.56,24.25,2.03
22.72,38.01,4.02
21.45,35.95,2.82
23.97,37.42,3.73
25.78,41.82,3.39
15.94,24.14,1.67
22.37,37.82,4.94
18.69,31.05,6.42
26.12,43.76,7.67
14.5,20.57,3.57
12.39,16.74,1.64
13.29,19.03,2.66
18.01,25.95,4.05
17.38,26.12,3.76
13.92,17.22,1.51
21.92,38.05,3.85
16.94,24.45,13.52
18.96,29.62,5.61
12.53,16.79,2.62
17.21,21.96,2.49
18.61,28.4,4.2
21.5,31.95,5.22
14.94,20.02,6.92
21.7,35.01,2.7
15.67,22.25,2.46
18.87,30.41,4.56
