price,duration,wait_time
10.12,10.83,5.47
14.32,17.38,8.52
19.67,26.87,9.79
19.42,29.6,2.99
17.25,24.11,8.3
21.85,35.41,2.15
18.88,27.47,3.01
22.06,34.19,6.21
22.18,33.02,2.59
18.54,31.1,6.46
23.36,38.96,2.52
16.14,21.8,3.36
24.85,39.81,8.42
25.56,42.87,6.63
17.64,27.86,2.29
12.39,14.54,9.7
18.21,24.61,2.43
22.93,36.36,7.27
25.71,42.41,5.29
18.73,26.15,3.12
29.69,49.14,4.62
13.73,18.41,9.93
16.46,21.81,2.83
20.86,34.66,1.65
17.12,24.75,3.29
23.37,37.4,6.7
17.21,27.56,9.42
24.61,38.69,3.15
19.49,30.99,5.12
31.58,55.73,3.72
31.7,57.25,4.52
21.35,33.53,2.16
14.05,19.2,4.3
15.55,23.19,2.35
19.43,28.22,2.23
11.73,18.75,4.59
12.89,15.8,2.71
18.49,29.45,1.54
23.18,41.98,4.97
12.67,15.57,1.76
25.85,45.96,5.82
26.29,44.34,6.73
23.52,35.26,3.24
26.59,44.47,2.44
19.3,29.29,4.03
14.58,19.99,3.21
17.99,26.77,4.73
17.33,27.12,5.64
28.89,52.75,2.42
22.11,35.96,4.98
21.19,31.74,3.58
19.97,30.36,6.62
16.48,24.25,3.34
25.95,44.2,2.33
34.68,61.72,6.89
21.01,28.82,2.4
19.17,28.35,9.87
7.97,4.15,6.37
15.98,20.18,4.23
11.81,14.26,4.24
13.15,15.45,4.95
20.05,28.69,1.86
21.47,37.43,5.17
16.8,26.04,4.39
23.38,39.05,9.61
22.46,35.5,6.36
22.03,30.95,2.4
21.68,32.47,1.96
21.49,33.02,1.72
25.97,46.56,4.61
24.67,37.86,6.36
19.4,31.33,5.94
25.11,42.7,5.36
14.64,21.53,2.94
22.2,34.63,3.34
16.25,27.42,5.54
26.49,47.83,3.25
23.69,40.64,10.84
19.43,29.86,2.38
22.98,33.99,3.68
22.93,34.8,2.19
22.94,34.46,2.23
21.49,30.02,14.37
25.2,45.21,1.96
18.49,26.43,2.04
27.14,43.68,6.67
27.52,45.44,3.72
22.29,33.24,3.8
26.32,43.49,8.69
21.12,33.68,5.97
17.26,31.59,1.51
10.54,11.5,8.84
18.14,27.55,5.47
24.28,45.71,10.15
18.92,29.51,2.64
18.93,26.43,10.03
15.99,22.41,1.71
25.24,43.83,15.29
9.27,7.6,1.91
23.89,37.95,2.19
