price,duration,wait_time
23.2,37.21,5.43
11.94,11.03,6.05
11.73,9.94,1.68
19.52,28.36,8.09
19.38,32.17,4.3
22.17,31.96,1.93
18.88,30.25,4.03
20.32,32.09,5.43
16.69,26.81,9.2
15.43,20.87,5.34
19.48,30.06,1.98
22.13,36.04,13.01
19.39,29.42,1.62
22.17,33.95,4.73
21.18,35.26,5.51
21.66,31.91,2.67
29.73,52.06,2.71
16.92,25.69,3.05
18.21,25.76,2.85
19.65,32.22,7.67
5.92,3.14,6.7
19.83,34.58,11.34
19.52,29.22,4.76
16.5,22.27,6.44
15.96,20.85,8.83
25.44,42.74,2.46
20.75,31.5,5.52
23.75,40.26,15.82
12.25,14.57,8.56
14.62,16.45,11.27
18.9,26.35,13.68
10.94,10.78,6.28
19.62,34.7,4.22
16.46,26.15,1.67
18.91,30.83,4.49
23.56,41.75,6.89
25.36,43.96,2.26
16.75,23,2.57
8.66,4.97,2.02
14.86,22.79,2.04
22.11,40.48,1.51
25.66,37.58,5.01
20.45,33.35,2.68
18.44,27.55,1.79
17.58,26.3,4.02
28.22,48.52,1.74
16.4,24.96,3.34
19.85,30.63,10.13
16.47,23.48,2.85
24.63,39.05,2.69
12.7,14.83,5.12
25.87,45.95,7.41
9.75,8.92,7.12
24.08,39.94,5.02
31.19,53.35,9.03
16.15,20.84,12.31
20.61,33.33,2.54
14.86,20.27,3.43
20.86,33.17,3.95
25.81,42.2,2.04
18.74,28.05,14.86
20.36,34,2.17
19.43,33.08,2.09
18.31,28.38,9.75
19.28,30.28,3.06
18.51,26.85,5.48
19.64,31.88,1.77
22.23,34.94,2.92
21.93,35.48,4.16
18.14,28.52,5.98
21.35,32.21,5.52
21.87,36.17,2.59
19.48,26.72,3.95
17.12,24.79,8.02
19.54,27.21,7.95
17.22,30.03,4.79
16.66,27.72,2.25
24.09,41.51,9.79
26.37,46.19,3.33
13.39,17.39,4.2
23.97,39.01,2.42
21.47,36.72,2.43
16.87,23.48,3.09
15.78,24.57,9.44
20.96,33.94,8.15
15.54,17,3.59
17.61,28.6,3.28
21.42,32.8,2.99
29.73,53.64,8.18
20.01,27.15,4.6
13.87,18.24,6.77
21.28,34.78,2.81
17.51,24.59,2.86
21.76,35.76,1.89
18.09,29.79,2.77
14.13,18.3,8.45
23.33,38.15,5.96
23.1,35.96,9.6
21.83,35.18,3.71
23.4,37.97,6.77
