price,duration,wait_time
20.48,35.18,12.23
23.94,39.32,4.75
24.94,46.11,1.59
19.75,31.06,5.63
12.1,14.29,5.7
15.55,20.39,2.79
18.65,23.31,7.36
21.12,33.39,2.42
12.04,11.93,2.2
22.26,36.51,2.6
12.98,16.23,3.9
17.55,24.73,1.51
8.28,7.68,3.98
18.74,27.94,2.36
13.08,15.84,2.76
13.86,19.17,2.59
19.34,27.71,2.25
18.52,28.58,1.88
20,32,1.89
23.59,39.83,1.74
24.07,36.7,3.64
23.43,40.14,4.28
10.24,11.25,2.62
12.78,14.67,4.06
20.09,30.57,6.58
23.75,41.21,5.29
16.06,23,2.97
12.59,13.22,5.02
12.65,17.36,3.07
12.09,15.76,2.94
20.9,29.67,2.47
15.34,17.66,11.23
18.46,22.37,2.72
14.91,21.61,4.53
23.24,41.86,2.26
17.1,28.17,3.12
15.46,20.24,8.35
17.19,24.57,2.5
16.4,24.2,1.58
13.65,24.26,1.98
16.05,20.83,8.27
24.86,42.27,5.74
25.61,43.78,13.67
24.21,38.94,5.39
12.44,15.2,5.72
27.93,48.37,4.01
20.08,33.21,3.01
29.86,51.89,4.57
22.34,38.17,5.75
18.42,27.74,4.72
19.2,30.58,2.27
14.53,17.54,3.21
20.53,30.46,3.09
25.29,42.02,3.04
14.95,21.32,5.32
19.28,28.63,1.51
15.47,20.98,2.96
20.48,33.11,1.9
19.5,27.02,1.82
14.68,13.26,2.58
15.48,26.23,3.67
19.75,30.48,1.8
13.73,20.9,2.32
21.96,35.48,3.5
23.54,39.6,7.48
22.59,36.81,6.25
18.7,29.09,9.15
23.1,41.72,6.49
23.33,39.7,1.64
11.75,10.03,3.55
27.41,46.4,1.76
25.84,45.31,3.05
13.77,19.49,7.91
18.51,26.85,5.48
13.35,17.81,3.6
24.06,40.37,2
16.88,22.58,1.92
27.08,44.28,3.11
17.56,27.1,12.07
21.84,32.9,1.57
13.72,18.27,7.47
25.68,42.15,3.95
18.22,28.73,5.9
24.07,39.56,1.58
22.44,37.86,4.44
19.28,29.38,4.67
18.61,27.22,7.34
13.04,12.66,1.9
16.15,21.87,2.1
15.98,22.43,6.03
27.12,46.87,5.26
22.76,40.59,2.44
17.33,25.01,3.95
27.03,47.58,3.62
17.79,28.2,7.72
25.61,43.41,3.21
16.99,26.54,2.57
16.26,20.19,8.2
22.54,38.19,2.73
19.26,31.77,4.75
