price,duration,wait_time
17.61,28.6,3.28
26.63,48.86,5.49
24.05,38.18,3.72
29.4,49.65,4.36
14.62,15.88,1.81
12.7,17.04,4.53
16.6,26.54,1.65
20.63,34.01,4.33
21.08,33.31,8.24
18.21,29.93,2.28
16.99,24.16,11.04
22.39,41.46,1.96
11.39,12.36,3.38
15.48,21.42,5.85
28.48,45.68,1.78
14.64,23.01,1.53
11.66,12.65,5.1
24.11,36.97,3.41
15.79,21.81,5.96
19.47,29.34,2.67
24.04,38.47,1.59
13.91,19.89,2.8
16.76,26.19,5.32
11.78,12.7,7.88
15.35,22.03,3.95
21.26,31.96,3.35
21.91,32.01,3.96
16.85,26.38,2.98
17.75,27.33,4.29
24.01,40.02,2.32
25.81,43.64,8.54
20.27,29.73,7.79
26.6,45.25,2.26
19.77,29.98,2.39
12.18,14.58,2.88
18.28,31.52,8.82
19.48,28.66,4.64
8.14,3.12,1.57
18.96,30.11,6.2
21.24,31.36,2.27
17.81,26.93,4.22
10.88,12.48,5.06
12.22,13.51,2.46
15.49,21.69,9.51
22.5,37.37,8.8
19.7,30.05,11.78
12.99,17.05,2.02
10.57,10.95,2.63
15.97,23.36,1.65
24.28,40.17,2.06
15.74,18.22,3.93
13.24,13.96,2.72
20.29,31.8,9.72
25.41,43.97,6.57
22.99,40.24,2.16
14.96,20.67,2.43
19.09,28.88,4.56
22.04,32.46,3.89
30.21,51.25,1.92
12.4,17.09,5.52
26.86,45.86,6.33
25.5,43.71,3.35
11.16,13.04,2.03
15.5,21.44,7.08
30.21,50.39,2.11
23.2,40.59,5.25
23.43,40.66,1.51
27.85,47.13,1.89
17.99,24.67,3.52
29.16,51.59,1.93
16.84,24.04,6
26.4,44.54,3.86
21.91,29.93,7.24
14.58,23.01,7.78
27.18,42.18,7.49
21.65,31.56,4.4
21.55,32.7,4.73
10.34,10.8,5.09
24.74,41.42,4.37
28.91,52.98,8.76
23.12,37.39,4.59
20.32,34.77,1.51
26.51,45.71,7.48
17.7,24.56,1.87
14.29,15.13,5.9
14.73,20.2,2.18
21.08,33.18,3.08
22.88,38.6,2.88
13.94,16.04,3.1
25.07,39.74,3.14
15.3,21.92,8.78
23.58,34.92,3.64
25.36,44.92,1.73
11.44,14.86,2.23
20.51,32.93,8.44
13.07,15.59,5.48
18.31,25.58,2.22
9.34,9.38,7.63
25.24,42.7,3.33
12.35,18.12,2.46
