price,duration,wait_time
17.11,22.7,3.64
17.96,28.12,2.93
21.46,34.07,2.53
15.16,23.85,5.96
13.29,16.36,2.07
12.32,15.71,2.21
15.6,22.19,2.44
21.29,31.7,1.83
13.42,17.74,2.56
25.61,42.67,1.92
17.91,26.13,2.27
23.46,36.35,6.12
29.23,53.97,3.92
20.06,30.48,7.53
19.35,30.02,2.94
25.71,43.64,4.93
16.52,20.64,1.56
13.7,13.58,7.48
20.45,35.33,1.77
23.04,36.84,2.01
17.99,29.95,2.33
16.9,22.79,12.81
22.48,37.11,3.55
29.79,53.53,5.04
21.03,34.01,3.21
20.67,34.56,6.37
15.61,22.11,8.7
19.33,28.68,7.77
29.67,51.63,4.19
14.32,18.7,4.02
21.75,34.38,5.52
21.09,31.33,10.87
18.37,26.08,1.61
17.28,22,5.29
21.16,30.99,11.27
13.12,15.13,1.93
16.54,24.06,2.18
20.05,29.2,5.1
7.23,4.45,2.24
19.35,29.79,1.71
19.46,28.62,3.31
17.94,26.85,3.59
19.45,26.39,6.89
23.76,38.17,1.62
18.18,27.73,6.18
18.28,29.06,2.87
12.65,17.36,3.07
28.88,52.15,5.99
16.4,26.07,3.23
21.87,31.03,6.51
18.06,26.98,3.16
17.51,27.44,2.09
20.69,29.65,7.82
18.73,23.55,2.56
19.26,28.82,2.2
18.23,28.48,5.52
23.02,35.07,9.4
17.31,25.66,6.32
26.92,43.77,1.82
11.41,13.53,3.48
23.2,38.66,3.19
22.38,38.74,2.34
17.95,28.67,1.56
27.55,46.31,1.71
19.12,29.23,1.55
26.88,47.53,4.45
26.13,43.21,4.45
26.75,45.76,4.17
24.23,38.23,3.05
18.44,27.59,3.71
16.16,23.74,2.43
20.17,31.33,3.71
20.77,32.23,4.03
21.61,35.17,3.71
20.77,35.42,7.21
16.93,25.06,6.95
25.45,45.1,2.51
15.54,21.28,2.91
13.86,19.17,2.59
23.72,37.63,3.6
19,31.01,7.37
26.89,44.35,2.56
16.89,24.59,2.1
22.6,33.43,1.75
21.34,34.33,4.32
13.6,20.16,1.96
19.93,30.53,2.42
16.31,25.12,1.82
21.54,30.47,1.76
13.12,18.88,3.84
26.96,44.66,3.97
18.67,27.66,2.31
19.02,29.25,6.33
23.44,36.77,3.84
19.16,28.02,2.98
17.46,25.91,4.91
25.27,41.85,14.44
17.61,30.55,6.5
22.29,41.02,2.55
18.97,31.14,3.49
