price,duration,wait_time
17.76,25.03,4.06
13.83,22.34,6.46
19.56,28.52,3.25
13.87,16.87,5.01
10.79,9.25,1.74
19.05,27.36,2.04
15.01,18.92,4.69
21.34,30.48,2.66
23.36,36.61,3.01
25.68,41.07,7.49
18.84,29.67,1.98
14.76,18.33,1.97
13.03,19.53,15.92
16.48,22.28,1.93
22.62,38.3,1.94
23,38.69,2.27
16.89,25.63,2.83
17.97,28.32,4.42
26.59,49.24,4.32
21.18,35.91,7.72
13.16,16.1,3.37
19.66,30.71,2.91
10.94,15.8,3.18
25.01,41.15,2.41
20.45,33.04,3.36
23.74,41.44,2.43
21.18,34.01,2.52
25.23,43.42,4.44
25.78,43.06,4.53
26.02,41.74,6.96
18.86,29.95,1.98
20.31,30,2.31
12.32,15.68,3.39
15.4,16.68,3.6
23.35,39.01,2.78
12.17,16.1,4.89
17.84,25.99,2.09
22.23,33.44,1.98
27.59,43.97,3.42
18.6,27.4,1.63
12.15,19.22,3.61
19.17,31.46,9.61
22.84,36.64,5.9
14.72,19.97,11.38
14.64,17.47,1.94
16.05,21.29,3.96
25.77,41,1.54
19.7,34.51,2
17.6,26.89,2.09
22.59,40.05,1.98
14.92,20.17,3.99
31.89,57.01,5.16
21.55,33.62,7.21
24.74,40.49,6.01
14.5,18.38,3.21
15.29,20.84,1.63
10.01,9.83,2.49
26.91,43.69,7.99
24.73,41.03,3.97
25.22,44.68,2
29.11,46.46,1.96
17.26,26.95,2.64
19.43,27.59,3.14
15.68,21.03,2.82
16.04,19.7,2.21
18.08,27.42,2.46
17.6,26.34,1.87
23.16,36.23,2.26
19.06,26.63,4.19
17.8,25.99,3.32
28.19,48.41,1.85
21.3,33.18,22.63
25.05,38.54,3.49
25.59,43.69,2.37
16.14,23.81,5.33
15.6,22.2,3.54
20.1,29.69,5.2
23.59,39.35,2.47
15.37,22.24,6.81
17.31,28.77,3.01
15.82,24.94,5.66
13.93,18.78,7.04
25.17,38.24,2.11
20.41,35.9,15.78
16.04,22.85,4.25
17.92,25.58,3.77
22.55,31.67,7.85
18.02,26.47,3.3
22.47,32.91,4.36
24,41.15,5.53
10.32,9.58,2
22.96,37.59,5.8
17.18,26.15,23.41
17.42,26.27,11.31
26.21,44.09,6.72
7.19,8.01,4
19.36,26.18,2.87
22.54,35.85,2.57
18.51,29.71,6.23
26.04,38.05,2.97
