price,duration,wait_time
17.39,25.72,1.56
15.71,21.16,4.02
22.9,35.66,2.77
19.32,31.69,3.44
24.32,38.09,5.6
16.06,26.81,5.66
22.94,38.03,4.39
17.5,28.38,6.04
16.43,22.6,17.58
23.42,40.77,1.61
26.46,46.88,6.56
22.03,34.61,8.33
28.26,47.22,4.96
11.63,13.83,6.45
15.03,18.82,2.2
20.08,31.26,5.99
15.04,21.16,2.71
18.98,32.03,6.62
14.18,16.66,8.18
19.1,28.91,2.14
24.21,38.41,8.71
17.95,25,1.82
26.59,48.15,6.09
20.8,30.82,6.18
19.31,32.24,3.33
10.56,10.45,2.77
14.02,18.8,5.32
16.28,22.81,4.64
23.58,34.92,3.64
24.46,42.53,2.62
13.84,18.99,10.66
19.92,29.31,6.92
20.87,35.39,2.62
19.5,26.62,3.85
14.44,21.31,9.94
21.13,32.32,4.76
17.1,26.86,10.84
10.32,9.58,2
26.16,40.86,3.4
12.81,18,1.79
21.18,34.15,8.43
19.04,28.18,2.96
22.48,34.53,17.68
14.59,20.02,2.19
17.3,23.84,1.92
27.5,45.94,6.45
12.83,18.31,7.73
20.4,34.89,2.14
16.27,23.91,10.66
23.3,36.06,4.49
25.01,37.33,7.38
25.06,43.2,3.02
16.97,24.62,1.6
21.15,29.86,6.62
13.76,17.56,2.26
14.6,24.83,4.14
16.77,25.19,7.23
22.69,38.42,3.22
15.96,24.68,6.42
21.46,33.15,4.54
19.93,29.75,5.19
22.54,38.8,2.3
19.84,31.45,3.19
17.3,24.89,7.49
20.24,29.13,3.24
22.79,35.91,3.02
15.67,21.43,2.97
19.55,33.25,11.98
21.42,29.3,5.23
26.49,42.23,2.01
14.13,19.01,3.86
12.83,13.74,5.07
16.15,20.12,3.05
23.73,38.47,1.77
23.12,38.32,4.17
18.73,27.02,2.25
15.39,21.74,1.52
20.03,28.71,8.95
21.54,34.78,4.96
16.43,21.62,5.71
16.56,27.52,3.06
23.18,40.54,2.84
20.02,31.34,2.1
18.38,24.45,8.99
20.34,30.27,9.89
16.33,22.67,2.51
26.38,45.41,4.88
15.67,23.61,5.26
27.95,46.82,6.19
10.74,12.59,2.94
18.23,25.06,2.63
14.84,23.37,1.74
23.07,34.51,6.11
24.04,40.6,2.06
15.32,20.17,5.09
17.6,26.11,1.79
21.65,30.82,4.55
18.2,24.52,5.93
17.58,25.86,4.92
20.95,31.33,3.19
