price,duration,wait_time
21.57,36.29,7.96
14.05,18.62,8.3
23.13,36.4,5.61
22.58,39.65,2.33
19.22,27.37,3.01
26.9,49.4,1.77
21.58,35.6,2.57
28.29,51.98,3.69
13.07,18.27,2.59
13.09,16.3,3.81
11.28,13.54,1.79
20.01,31.08,11.2
12.27,14.36,6.28
19.45,29.52,3.42
22.09,39.03,3.64
17.75,26.27,1.76
20.26,34.79,4.33
14.43,21.52,3.41
23.7,41.29,4.33
15.08,23.5,3.88
12.37,14.42,3.01
20.65,31.47,2.05
15.86,25.98,4.17
19.95,29.19,5.46
24.05,39.16,14.61
24.83,41.5,2.87
25.78,40.75,1.59
25.53,42.05,2.62
21.84,38.89,2.51
21.97,32.72,2.91
21.11,34.01,2.83
21.22,34.24,4.52
15.47,24.61,4.82
18.06,26.45,1.91
19.46,29.49,1.61
18.58,25.32,3.12
17.97,26.82,1.97
24.35,42.53,5.77
19.08,28.51,3.07
15.65,26.19,2.01
26.13,44.48,2.26
19.88,30.89,1.91
28.05,48.12,2.77
20.55,32.19,5.38
17.8,27.32,2.94
21.61,34.36,2.16
23.06,35.04,2.88
22.75,34.59,6.11
16.52,25.86,4.16
14.36,17.9,3.94
15.62,22.23,3.24
23.73,40.57,7.77
19.07,29.8,2.1
18.77,30.98,5.17
15.75,20.43,5.39
12.65,17.22,5.12
24.32,38.09,5.6
11.87,13.62,2.66
20.12,30.26,4.29
22.59,34.26,2.5
16.42,24.81,4.08
17.06,27.21,4.35
16.23,24.2,5.39
15.09,20.15,1.87
28.11,45.07,5.06
20.8,29.9,5.43
20.08,32.43,3.93
22.76,35.09,8.11
28.58,50.22,3.35
25.88,45.45,1.68
18.75,31.36,7.8
19.79,30.43,3.58
19.26,28.62,2.36
19.55,31.76,5.2
16.25,24.43,6.81
25.75,44.31,1.56
6.86,8.93,1.56
20.57,30.16,8.74
21.17,33.36,2.52
22.7,36.04,13.55
17.53,24.71,4.09
27.32,46.36,6.37
19.13,28.84,1.86
22.52,36.47,1.5
21.99,39.15,4.42
15.64,19.07,2.16
17.6,29.37,8.23
27.45,49.35,2.54
16.99,23.4,3.47
15.3,22.21,4.86
29.17,49.81,1.98
22.43,35.76,2.46
22.68,37.41,5.9
20.53,32.55,4.77
16.61,24.5,5.74
20.31,26.2,14.68
19.91,29.08,2.1
21.17,35.91,2.23
9.74,8.6,8.14
12.64,16.13,1.95
