price,duration,wait_time
14.69,21.52,6.51
14.4,18.73,1.55
21.4,32.39,2.53
22.05,31.93,5.46
13.12,18.3,7.21
14.45,19.38,9.36
23.95,36.9,4.82
17.72,29.26,5.12
21.21,33.62,5.67
21.21,34.09,2.97
19.87,31.46,4.16
22.95,35.36,2.15
12.9,15.96,16.56
15.93,20.82,8.69
16.46,24.34,5.32
19.97,29.2,2.37
24.35,41.73,4.43
24.88,37.96,10.31
26.8,44.33,3.52
27.43,42.83,11.24
12.99,17.16,1.57
16.62,21.21,1.69
16.39,18.77,2.85
13.22,16.35,1.51
18.83,27.59,7.43
17.77,26.66,2.59
24.27,41.26,5.72
17.19,23.94,3.72
13.44,19.94,3.21
15.7,22.39,5.08
21.93,35.8,7.94
16.4,24.5,1.65
12.42,13.64,4.1
14.43,17.67,3.35
17.44,26.98,3.48
13.44,16.52,2.27
17.87,34.22,1.58
15.58,20.97,2.01
19.74,30.86,2.76
21.78,35.72,5.79
18.21,29.16,1.91
19.83,29.81,7.74
19.41,29.46,5.01
25.15,42.11,1.75
10.79,11.28,4.33
18.09,27.71,4.24
21.04,34.11,1.57
22.31,36.35,3.22
16.47,20.96,4.12
24.23,41.29,1.66
8.88,5.86,11.82
25.41,42.28,1.63
25.42,43.74,2.34
29.03,50.03,3.04
21.06,34.42,1.52
21.67,37.76,4.41
14.29,20.37,3.49
22.95,36.08,14.46
27,44.22,11.91
20.15,32.54,3.79
18.94,31.41,4.69
20.99,29.65,3.64
17.3,24.53,2.57
21.17,30.44,3.33
20.59,32.72,4.8
17.69,27.24,5.03
29.26,51.49,2.18
15.83,23.21,4.47
15.89,22.1,2.44
25.98,47.13,3.18
20.03,31.58,6.87
18.66,29.73,9.85
21,32.01,3.85
16.15,20.68,2.77
21.3,31.59,1.56
20.57,33.37,2.19
19.63,32.81,3.16
26.91,46.43,1.9
21.69,35.69,5.04
18.98,28.49,3.53
23.47,38.42,7.74
16.71,21.67,6.03
18.46,31.45,1.85
20.84,33.58,3.14
19.8,29.82,5.07
11,11.84,6.32
18.89,30.78,5.19
24.49,40,3.41
26.37,43.89,3.16
20.51,30.08,8.3
18.1,29.92,5.86
18.34,26.32,1.85
18.96,31.95,6.5
20.16,28.3,3.82
18.26,23.22,10.8
19.95,31.74,5.28
17.45,29.85,2
19.37,28.84,3.82
14.71,20.56,1.68
16.43,26.51,1.67
