price,duration,wait_time
22.2,37.23,17.77
21.59,32.23,4.87
17.52,26.76,6.96
23.78,39.62,3.54
24.84,41.38,2.25
17,25.38,5.73
16.9,24.49,1.66
11.51,13.35,3.12
25.78,41.01,3.56
24.57,41.29,2.45
15.26,24.44,1.5
20.01,27.81,3.05
25.8,40.9,3.68
17.65,27.38,1.58
13.02,17.37,2.55
24.82,42.65,1.82
13.01,18.54,1.88
26.5,43.9,1.69
19.58,31.11,9.34
17.45,24.08,1.71
24.39,41.14,6.37
18.91,30.83,4.49
15.11,21.18,2.52
17.63,27.7,4.46
24.11,39.96,4.72
19.34,28.77,8.6
22.34,36.8,1.64
13.87,18.35,1.62
21.88,34.7,7.59
24.3,38.14,2.61
18.91,30.38,5.82
21.12,33.24,1.89
13.75,21.97,5.88
21.79,38.12,3.08
23.15,37.81,6.81
18.48,27.72,3.03
24.05,40.23,5.56
25.91,48.07,9.44
28.03,47,5.52
17.36,24.44,3.48
17.01,23.01,4.47
26.95,40.98,2.39
17.99,24.77,15.32
22.98,36.78,1.62
19.29,28.99,6.45
20.9,34,5.14
27.67,43.69,2.28
17.22,24.07,2.03
19.39,30.31,3.67
19.23,27.96,5.63
11.43,14.26,1.67
17.23,23.31,3.4
15.86,24.62,3.1
12.79,18.62,4.71
21.49,33.26,2.81
17.77,26.59,2.92
16.78,21.31,1.52
22.09,38.04,5.99
20.71,32.81,1.83
17.35,26.38,2.97
20.46,32.02,1.71
16.01,21.53,7.93
25.17,44.3,2.07
7.6,7.15,2.39
14.29,17.33,3.84
16.66,24.04,2.06
15.85,20.32,4.85
15.45,22.24,4.67
21.08,32.51,5.66
16.88,25.02,3.29
23.77,38.21,5.43
13.81,23.35,4.03
18.63,23.15,13.89
21.47,36.22,2.1
18.26,22.26,1.78
19.54,29.99,6.45
20.57,33.25,4.37
22.88,33.82,7.27
23.96,41.64,1.84
19.08,27.95,1.64
18.63,31.58,2.26
11.65,9.85,3.73
24.65,40.31,5.48
31.58,53.29,10.99
28.91,46.64,1.76
16.18,17.95,2.26
24.78,41.96,4.02
18.58,32.53,5.03
16.94,27.46,2.1
17.2,23.8,2.9
23.6,40.2,4.28
24.88,44.28,2.54
23.25,42.4,4.34
24.18,42.08,3.69
17.55,25.1,6.98
13.61,16.61,3.1
17.36,21.1,2.3
15.12,21.07,2.33
10.92,7.36,1.9
27.12,40.62,7.29
