price,duration,wait_time
20.81,32.4,1.75
21.45,37.22,1.99
18.61,30.41,4.96
13.7,14.33,3.26
23.02,35.77,1.88
15.45,22.05,3.54
15.87,20.57,3.62
22.91,35.79,3
15.33,19.59,8.34
20.84,28.61,3.23
19.02,32.55,3.33
24.59,44.49,4.49
20.5,29.69,3.97
22.95,37.54,5.74
16.07,20.15,4.9
18.86,29.95,1.98
13.77,22.17,5.64
20.87,35.39,2.62
25.52,40.53,3.63
23.73,38.24,5.41
16.17,24.58,3.27
22.63,37.79,2.54
16.2,23.16,2.59
18.51,24.74,7.48
22.58,39.44,4.42
13.17,16.85,4.52
25.38,42.71,2.05
18.39,24.76,2.67
12.2,16.09,3.92
26.56,46.17,5.15
19.72,31.3,2.98
21.76,35.24,6.34
19.57,30.77,16.66
15.41,21.65,1.69
14.5,22.11,4.02
18.29,21.78,2.83
20.48,31.04,2.93
20.17,33.39,4.27
20.01,29.58,16.02
15.15,26.74,2.02
24.05,38.46,1.7
27.84,49.28,2.01
22.69,39.57,1.55
24.76,44.04,3.53
15.07,22.39,4.62
20.34,29.56,2.94
12.67,15.78,15.18
21.73,36.42,2.21
17.73,25.66,6.16
25.34,45.28,6.7
22.8,40.11,4.69
17.3,24.53,3.51
18.52,27.52,9.19
19.01,27.48,1.79
20.12,31.59,3.72
13.93,21.18,8.53
25.77,39.72,4.74
16.46,18.1,3.13
15.46,18.13,1.77
13.93,20.03,3.44
13.81,17.38,4.85
9.65,7.33,1.77
18.06,24.21,1.89
23.06,37.21,8.84
24.85,42.26,3.24
15.28,21.33,5.47
25.93,38.02,1.85
18.9,31.53,5.49
19.09,29.11,2.39
20.52,28.19,5.17
16.83,21.88,7.86
14.81,23.89,9.52
26.53,43.85,1.89
24.74,42.9,8.7
19.07,26.79,10.68
7.96,8.71,3.27
27.07,45.87,8.16
14.72,20.53,4.76
21.9,33.08,6.54
22.29,34.34,6.02
22.03,33.66,3.69
28.21,50.02,2.15
14.24,20.87,2.01
21.95,35.54,3.6
12.37,14.35,2.29
15.02,18.5,2.15
25.15,43.32,4.75
15.57,19.51,2.32
20.99,32.07,2.69
20.56,32.89,4.32
23.65,35.19,2.91
18.48,26.22,1.53
17.93,30.27,2.13
17.87,27.37,1.92
17.27,23.96,4.57
20.36,33.8,3.18
19.76,30.91,5.89
21.71,33.03,3.43
13.52,13.29,2.26
13.51,18.91,7.97
