price,duration,wait_time
18.93,29.67,2.66
16.77,23.8,6.22
18.98,28.81,11.7
25.86,44.85,4.02
21.97,37.44,6.08
17.88,29.29,2.73
12.85,14.65,3.21
18.56,28.99,5.76
19.59,31.5,6.11
14.58,19.99,3.21
20.42,34.03,1.54
25.52,40.79,2.8
17.97,28.94,1.67
21.75,34.65,10.08
23.32,37.42,2.35
13.14,13.58,1.62
15.69,21.36,4.34
18.44,29.89,1.6
18.04,25.5,1.96
12.84,18.15,1.71
11.42,10.8,3.86
27.83,49.88,2.75
20.65,34.28,3.14
23.61,37.87,2.86
13.49,14.36,4.53
20.87,32.11,1.92
13.58,18.03,6.08
17.33,27.16,6.54
18.4,30.46,2.46
20.1,30.82,6.76
23.23,36.21,2.93
21.28,32.19,1.95
28.97,48.91,2.5
23.78,41.21,3.13
20.56,34.22,8.58
13.3,14.97,2.51
13.61,16.35,5.98
20.46,32.34,6.43
17.38,28.44,6.41
13.54,18.25,7.29
23.46,39.65,4.34
17.68,26.17,2.21
12.49,15,4.12
15.11,20.97,5.04
9.88,8.43,1.56
16.07,25.13,1.88
24.24,39.55,2.24
15.29,21.65,3.01
25.03,42.11,2.61
22.28,36.5,3.01
22.17,38.53,3.61
18.94,31.97,2.73
15.41,22.21,1.54
17.7,27.85,2.74
17.19,23.18,3.96
16.93,26.18,2.99
21.3,34.08,1.79
20.47,33.71,11.65
21.2,31.37,9.1
22.16,37.33,5.74
20.75,32.19,3.12
16.15,22.4,2.91
20.73,35.93,5.17
19.37,28.5,6.45
15.13,19.2,2.69
25.1,44.25,11.87
16.82,26.71,5.52
13.45,18.49,6.46
19.7,34.66,3.1
18.57,29.44,4.99
19.72,31.24,2.15
17.35,26.3,5.99
22.41,34.12,1.9
24.44,43.54,2.78
20.49,33.96,4.87
18.1,22.3,4.03
27.08,48.37,2.27
22.9,37.74,3.75
12.98,15.13,10.46
17.89,29.81,4.47
15.91,21.72,2.5
12.12,10.82,7.45
21.05,32.81,10.83
18.67,27.82,2.47
17.52,27.11,1.61
26.46,43.98,4.71
16.17,20.31,3.79
13.75,17.86,3.05
24.46,43.12,2.56
13.78,17.48,2.71
26.23,45.39,3.44
14.42,19.4,5.49
18.07,25.63,1.51
27.44,47.75,1.56
15.96,24.94,8.12
21.04,30.04,8.54
17.23,26.7,2.64
23.96,40.71,2.4
19.3,26.46,2.5
20.49,33.39,7.14
