price,duration,wait_time
23.74,40.59,2.56
16.34,23.93,4.29
17.93,27.52,2.98
25.97,44.06,3.94
22.86,36.65,2.8
15.19,18.27,1.51
17.02,23.2,2.23
18.23,26.01,3.59
20.04,31.94,20.15
13.99,19.19,6.69
20.71,34.56,5.29
20.61,34.17,12.19
14.98,23.99,2.69
14.25,22.28,2.34
13.06,14.27,2.95
23.06,43.11,6.66
17.15,24.16,7.13
19.37,30.16,11.06
20.62,30.16,2.1
27.78,46.37,4.23
17.17,25.04,4.75
20.98,30.77,4.45
13.89,17.68,4.37
11.48,10.93,1.89
17.37,25.18,1.57
21.28,29.29,1.6
14.19,18.84,2.34
13.96,14.65,1.52
26.36,43.67,5.17
15.67,22.25,2.46
32.55,58.35,4.15
16.07,21.06,5.29
18.44,26.64,2.27
17.39,23.84,5.19
24.81,40.04,4.09
20.12,29.41,2.73
27.79,49.19,1.62
21.41,33.72,2.62
19.96,32.36,6.49
21.02,33.79,1.75
15.71,21.91,10.82
17.29,26.24,6.29
23.01,36.73,3.09
21.85,33.76,2.01
13.13,15.04,5.2
22.11,38.3,1.86
13.7,17.33,3.57
19.78,27.6,10.9
15.63,21.96,3.04
14.06,19.52,2.92
18.29,28.97,5.83
25.37,43.14,1.77
20.37,30.77,2.96
19.01,27.47,1.87
22.94,38.31,7.83
20.16,28.7,6.66
16.92,22.1,7.42
19.26,34.74,5.53
22.57,30.82,1.9
20.96,37.04,3.39
29.63,49.75,2.18
21.5,34.21,2.28
18.94,26.38,3.8
18.06,27.02,10.9
21.92,32.13,1.87
21.4,29.43,4.01
18.48,27.54,2.83
28.93,50.7,4.09
16.84,24.04,6
24.01,38.24,6.09
19.91,29.57,3.1
8.29,4.41,10.72
23.86,39.16,1.51
7.5,6.78,2.95
15.13,25.56,6.71
26.64,37.59,9.77
19.03,31.43,4
23.99,38.4,5.16
20.07,32.59,9.24
30.03,50.37,3.23
8.88,8.95,3
15.85,23.53,2.19
18.35,25.89,3.38
19.99,30.92,1.83
21.99,36.07,4.73
17.31,25.86,4.22
18.14,31.77,12.11
20.61,29.84,4.55
20.39,34.08,5.98
21.85,36.59,3.25
23.9,42.32,3.13
23.02,39.94,3.37
14.08,17.48,6.61
20.53,36.6,2.68
20.71,29.61,2.24
18.71,30.02,1.73
18.16,26.63,4.83
19.79,30.39,2.13
24.14,41.02,1.55
14.33,20.4,3.36
