price,duration,wait_time
21.17,37.86,5.2
24.89,43.99,2.17
15.75,25.31,3.98
22.68,37.03,1.67
20.21,31.85,4.83
22.25,37.27,5.71
19.73,30.29,5.5
21.51,26.81,2.04
10.02,7.25,4.55
17.73,28.29,2.87
23.17,38.99,3.38
21.28,34.32,2.37
22.24,31.36,1.6
16.19,25.96,1.99
18.13,26.57,4.27
19.64,29.81,1.83
21.26,34.43,4.91
15.35,22.75,2.05
19.01,26.97,3.11
15.26,23.33,8.75
22,34.82,2.57
16.56,26.78,5.15
15.45,24.11,5.83
20.25,32.16,2.76
20.3,33.27,3.58
18.71,33.48,2.33
20.55,33.37,1.68
18.71,27.05,2.82
24.28,43.38,5.6
22,31.57,7.05
15.25,21.33,1.55
18.16,26.17,8.67
12.53,13.7,4.14
26.78,46.93,10.81
20.04,34.91,3.58
13.54,20.4,3.16
25.14,42.96,3.1
25.09,38.12,9.16
13.12,19.3,4.09
14.85,17.09,2.8
16.69,23.93,8.99
16.56,25.98,2.49
18.42,29.6,2.52
27.44,45.45,9
21.29,33.48,3.59
15.51,20.68,2.84
18.55,29.05,2.45
17.34,25.47,6.94
19.69,25.65,4.04
16.47,25.6,5.93
22.51,36.96,6.72
19.6,31.25,4.84
22.89,36.51,5.39
15.05,19.21,5.75
23.06,37.78,1.74
17.24,26.25,4
17.7,26.94,6.66
19.69,31.63,4.8
14.88,19.06,8.9
12.9,15.23,2.41
18.39,31.89,5.85
15.59,21.6,4.63
19.49,32.8,1.78
24.96,44.24,1.96
16.57,23.69,2.58
17.18,26.34,2.53
18.07,29.54,19.69
11.84,14.95,3.55
22.46,38.64,1.9
23.69,41.11,2.03
18.43,25.54,2.61
10.02,8.37,9.7
20.71,33.1,11.28
24.71,40.62,5.93
19.97,31.65,3.46
14.43,20.92,5.8
16.1,21.19,2.32
15.34,19.19,2.84
12.52,14.35,7.07
24.38,37.45,4.34
15.06,16.84,6.45
16.64,23.54,5.37
20.09,30.72,7.47
17.66,25.18,1.55
25.67,44.65,4.01
26,44.35,2.06
23.66,36.65,2.32
16.85,26.09,3.2
20.67,32.4,3.86
21.37,34.57,1.85
15.14,20.91,11.07
16.12,21.98,3.26
22.98,39.45,5.23
15.72,18.86,1.54
19.33,31.11,7.78
12.17,10.15,7.62
8.64,7.11,6.37
15.86,19.08,2.86
17.69,29.26,3.11
22.21,34.41,7.44
