price,duration,wait_time
16.13,23.63,3.73
23.24,37.41,1.55
18.46,22.37,2.72
21.34,32.57,2.53
16.56,25.15,3.64
17.65,25.64,4.92
18.22,28.85,4.4
17.84,26.21,2.11
19.31,30.88,7.79
24.09,44.24,4.01
21.88,35.41,1.67
28.6,50.09,3.91
14.21,16.01,5.81
26.38,46.03,7.15
17.28,25.26,5.05
19.79,26.53,1.69
23.15,35.1,8.34
27.15,45.74,2.73
27.04,46.51,2.46
11.56,10.88,4.25
11.61,14.6,1.95
19.34,31.57,11.92
18.62,26.8,3.02
14.2,19.87,6.64
19.07,31.15,2.92
16.11,25.06,3.05
19.73,27.49,4.22
21.85,34.38,9.54
18.13,32.33,2.72
17.34,25.47,7.36
13.36,15.56,3.6
18.78,29.48,2.72
19.08,27.74,2.61
20.34,34.05,3.29
23.02,34.23,2.84
18.95,26.61,2.98
21.36,31.83,7.42
15.83,21.05,6.81
17.23,22.92,7.54
9.99,10.33,8.25
20.38,31,7.16
24.23,40.96,1.91
18.48,29.86,3.73
16.98,26.89,1.65
14.69,21.52,6.51
20.78,31.29,9.55
15.64,19.85,5.19
18.08,28.21,5.72
24.96,40.08,4.73
21.36,33.84,1.99
17.53,27.48,2.72
25.34,42.69,1.72
18.34,25.33,2.39
27.05,46.59,2.55
23.46,36.31,2.14
26.18,45.42,3.58
27.37,46.1,8.04
15.71,20.44,1.71
20.27,29.1,2.5
20.79,29.96,7.65
18.65,30.32,3.63
27.88,48.23,4.96
18.76,25.75,2.14
20.58,29.02,4.61
25.05,38.81,2.73
14.56,22.61,2.05
12.65,12.96,2.96
20.63,34.03,1.93
24.86,43.37,8.86
16.86,24.82,2.95
16.57,22.95,6.63
18.77,29.36,6.69
20.64,26.91,5.07
19.68,29.61,6.91
17.28,27.22,3.22
21.48,35.01,7.37
18.38,28.72,1.92
14.9,17.89,2.99
18.8,28.03,21.04
27.03,45.21,4.88
20.55,31.09,3.1
26.31,44.26,1.65
23.83,40.12,5.36
27.14,50,1.82
26.16,46.64,2.89
27.21,44.63,12.24
12.93,21.51,4.91
24.44,39.11,2.89
13.82,17.41,2.23
22.3,35.43,5
16.52,24.61,8.35
7.24,3.54,1.85
23.15,38.38,1.61
16.19,25.2,3.87
12.8,21.51,5.2
20.95,33.24,3.37
20.45,30.57,4.23
21.14,38.43,2.84
19.13,32.33,4.26
17.3,22.2,3.35
